様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1,事務室1-1,水平,,,OW1,54.4,OG1,17.8,有
1,相談室1,水平,,,OW3,13.7,OG2,2.4,有
1,事務室1-2,水平,,,OW1,54.4,OG1,19.5,有
1,風除室,南,,,OW2,15.9,,,
2,事務室2,南,,,OW1,66.4,OG1,43.7,有
2,事務室3,北,,,OW1,14.8,OG1,10.4,有
2,所長室,北,,,OW1,26.7,OG1,17.8,有
2,マザーズキッズコーナー,北,,,OW1,28.7,OG1,26.4,有
,,西,,,OW1,24.6,OG1,22.3,有
2,相談室2,東,,,OW1,13.5,OG2,11.1,有
1,休憩室1,北,,,OW3,2.1,,,
,,東,,,OW3,27.6,OG2,2.4,有
,,南,,,OW3,10.6,,,
2,休憩室2,北,,,OW1,2.5,,,
,,東,,,OW1,28.1,OG2,2.4,有
,,南,,,OW3,10.5,,,
3,大会議室,南,,,OW1,54.2,OG1,19.5,有
,,水平,,,RF2,97.2,,,
3,ジョブクラブ,南,,,OW1,12.2,OG1,3.2,有
,,水平,,,RF2,20,,,
3,休憩室3,北,,,OW1,29.2,OG1,8.9,有
,,水平,,,RF3,32.8,,,
3,通信機械室,水平,,,RF3,14.3,,,
