様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱有無,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
RHU-1,無,無,,,直焚吸収冷温水機(都市ガス),1番目,1,7,176,13,,3.7,325,2.5,5.5,1番目,1,55,132,20,,3.7,冷却塔：CT-1
ACP-1,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,8,2,,,,,,1番目,1,,9,2,,,
ACP-2,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,22.4,7.2,,,,,,1番目,1,,25,7.2,,,
ACP-3,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,4.5,1.6,,,,,,1番目,1,,5,1.6,,,
ACP-4,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,6.3,2.1,,,,,,1番目,1,,7.5,2.1,,,
AC-1,無,無,,,ビル用マルチエアコン(電気式),1番目,1,,4.5,1.6,,,,,,1番目,1,,5,5,,,
