様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
ACC1,1,空調機,32.8,12.2,6130,3.7,,,,回転数制御,16,有,有,,,,,,,,RHU-1,RHU-1,ACC1
,1,送風機,,,,,1.5,,,回転数制御,16,無,無,,,,,,,,,,RF1
ACC2,1,空調機,65.5,38.4,6780,3.7,,,,回転数制御,43,有,有,,,,,,,,RHU-1,RHU-1,ACC2
,1,送風機,,,,,1.5,,,回転数制御,43,無,無,,,,,,,,,,RF2
ACU1,1,空調機,80.3,46.5,9850,5.5,,,,回転数制御,34,有,有,,,,,,,,RHU-1,RHU-1,ACU1
,1,送風機,,,,,3.7,,,回転数制御,34,無,無,,,,,,,,,,RF3
ACP1-1,1,室内機,3.6,4,,0.1,,,,定風量制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-1
,1,全熱交ユニット,,,,,,0.4,,定風量制御,,無,無,有,290,55,無,,,,,,HEU1
ACP1-2,1,室内機,3.6,4,,0.1,,,,定風量制御,,無,無,,,,,,,,ACP-1,ACP-1,ACP1-2
,1,全熱交ユニット,,,,,,0.4,,定風量制御,,無,無,有,290,55,無,,,,,,HEU1
ACP2,1,室内機,6.3,7.5,,0.1,,,,定風量制御,,無,無,,,,,,,,ACP-2,ACP-2,ACP2-1
,3,全熱交ユニット,,,,,,0.6,,定風量制御,,無,無,有,550,55,無,,,,,,HEU3
ACP3,1,室内機,4.5,5,,0.1,,,,定風量制御,,無,無,,,,,,,,ACP-3,ACP-3,ACP3
,1,全熱交ユニット,,,,,,0.4,,定風量制御,,無,無,有,240,55,無,,,,,,HEU4
ACP4,1,室内機,6.3,7.5,,0.2,,,,定風量制御,,無,無,,,,,,,,ACP-4,ACP-4,ACP4
,1,全熱交ユニット,,,,,,0.6,,定風量制御,,無,無,有,510,55,無,,,,,,HEU2
AC1,1,室内機,4.5,,,0.1,,,,定風量制御,,無,無,,,,,,,,AC-1,AC-1,AC1
,1,全熱交ユニット,,,,,,0.3,,定風量制御,,無,無,有,160,55,無,,,,,,HEU5
