様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
1,事務室1-1,事務所等,事務室,75.3,4.15,2.7,12.7,6,,FRS27-32,,95,10,無,無,無,片側採光かつブラインド自動制御なし,無,有
1,事務室1-2,事務所等,事務室,289.56,4.15,2.7,12.7,17,,FRS27-32,,95,35,無,無,無,片側採光かつブラインド自動制御なし,無,有
1,相談室1,事務所等,事務室,20.4,4.15,2.7,6.8,3,1.1,FRS27-32,,95,4,無,無,無,片側採光かつブラインド自動制御なし,無,有
1,倉庫1,事務所等,更衣室,20.4,4.15,2.7,6.8,3,0.8,FSS9-32,,48,8,一括点滅,無,有,無,無,無
1,休憩室1,事務所等,喫茶室,11.9,4.15,2.7,3.5,3.4,0.6,FRL12-P45,,190,1,無,無,無,無,無,無
1,更衣室1,事務所等,更衣室,8.84,4.15,2.7,2.6,3.4,0.6,FSS9-32,,48,2,無,無,有,無,無,無
1,男子便所（職員用）,事務所等,便所,3.52,4.15,2.5,2.2,1.6,0.4,LRS1-1800LM,,28.1,1,一括点滅,無,無,無,無,無
1,給湯室1,事務所等,湯沸室等,3.36,4.15,2.7,1.6,2.1,0.5,LRS1-1300LM,,22.7,2,一括点滅,無,無,無,無,無
1,廊下1-2,事務所等,廊下,3.72,4.15,2.7,1.2,3.1,0.3,LRS1-1300LM,,22.7,2,減光,無,無,無,無,無
1,空調機械室1,事務所等,機械室,44.8,4.15,3.9,7,6.4,1.2,FSR2-32,,48,8,無,無,有,無,無,無
1,官用車庫1,事務所等,屋内駐車場,37.05,4.15,2.7,6.5,5.7,1.2,FSS9-32,,48,2,無,無,有,無,無,無
1,風除室,事務所等,廊下,10.08,4.15,2.5,3.6,2.8,0.6,LRS1-1300LM,,22.7,6,無,無,無,片側採光かつブラインド自動制御なし,無,有
1,ホール1,事務所等,ロビー,30.36,4.15,2.7,4.6,6.6,1,LRS1-1300LM,,22.7,12,無,無,無,無,無,無
1,廊下1-1,事務所等,廊下,11.39,4.15,2.7,1.7,6.7,0.5,FHF32,,48,5,無,無,有,,無,無
1,男子便所1,事務所等,便所,7.5,4.15,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
1,女子便所1,事務所等,便所,7.5,4.15,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
1,多目的便所1,事務所等,便所,4.6,4.15,2.5,2,2.3,0.4,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
2,事務室2,事務所等,事務室,208.32,4.1,2.7,12.4,16.8,3.8,FRS27-32,,95,35,無,無,無,片側採光かつブラインド自動制御なし,無,有
2,事務室3,事務所等,事務室,19.72,4.1,2.7,3.4,5.8,1.1,FRS27-32,,95,4,無,無,無,片側採光かつブラインド自動制御なし,無,有
2,印刷室,事務所等,事務室,10.54,4.1,2.7,3.1,3.4,0.9,FSS9-32,,48,2,無,無,有,無,無,無
2,物品庫,事務所等,更衣室,6.82,4.1,2.7,3.1,2.2,0.5,FSR2-32,,48,1,無,無,有,無,無,無
2,所長室,事務所等,事務室,32.48,4.1,2.7,5.6,5.8,1.1,FRF9-P45,,190,6,無,無,無,片側採光かつブラインド自動制御なし,無,有
2,マザーズキッズコーナー,事務所等,事務室,27.6,4.1,2.7,6.9,4,1.3,FRS27-32,,95,6,無,無,有,無,無,無
2,調乳室,事務所等,事務室,4.81,4.1,2.7,2.53,1.9,0.6,FRS27-32,,95,1,無,無,有,無,無,無
2,相談室2,事務所等,事務室,20.4,4.1,2.7,6.8,3,1.1,FRS27-32,,95,4,無,無,無,片側採光かつブラインド自動制御なし,無,有
2,倉庫2,事務所等,更衣室,20.4,4.1,2.7,6.8,3,0.8,FSS9-32,,48,8,一括点滅,無,有,無,無,無
2,空調機械室2,事務所等,機械室,44.8,4.1,3.9,7,6.4,1.2,FSR2-32,,48,8,無,無,有,無,無,無
2,休憩室2,事務所等,喫茶室,11.9,4.1,2.7,3.5,3.4,0.6,FRL12-P45,,190,1,無,無,無,無,無,無
2,更衣室2,事務所等,更衣室,8.84,4.1,2.7,2.6,3.4,0.6,FSS9-32,,48,2,無,無,有,無,無,無
2,女子便所（職員用）,事務所等,便所,3.52,4.1,2.5,2.2,1.6,0.4,LRS1-1800LM,,28.1,1,一括点滅,無,無,無,無,無
2,給湯室2,事務所等,湯沸室等,3.36,4.1,2.7,1.6,2.1,0.5,LRS1-1300LM,,22.7,2,一括点滅,無,無,無,無,無
2,廊下2-2,事務所等,廊下,3.72,4.1,2.7,1.2,3.1,0.3,LRS1-1300LM,,22.7,2,無,無,有,無,無,無
2,廊下2-1,事務所等,廊下,11.39,4.1,2.7,1.7,6.7,0.5,FHF32,,95,5,無,無,有,無,無,無
2,ホール2,事務所等,ロビー,15.2,4.1,2.7,4,3.8,0.7,LRS1-1800LM,,28.1,6,無,無,無,無,無,無
2,男子便所2,事務所等,便所,7.5,4.1,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
2,女子便所2,事務所等,便所,7.5,4.1,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
2,多目的便所2,事務所等,便所,4.6,4.1,2.5,2,2.3,0.4,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
3,廊下3-1,事務所等,廊下,11.39,3.95,2.7,1.7,6.7,0.5,FHF32,,95,5,無,無,有,無,無,無
3,ホール3,事務所等,ロビー,17.48,3.95,2.7,4.6,3.8,0.8,LRS1-1800LM,,28.1,6,無,無,無,無,無,無
3,大会議室,事務所等,会議室,92.66,3.95,2.7,11.3,8.2,2.5,FRS27-32,,95,21,無,無,無,片側採光かつブラインド自動制御なし,無,有
3,ジョブクラブ,事務所等,事務室,18.13,3.95,2.7,2.9,6.25,1,FRS27-32,,95,4,無,無,無,片側採光かつブラインド自動制御なし,無,有
3,倉庫3,事務所等,更衣室,20.4,3.95,2.7,2,6.3,0.6,FSR2-32,,48,2,無,無,有,無,無,無
3,耐火倉庫,事務所等,更衣室,42.25,3.95,2.7,6.5,6.5,1.3,FSS9-32,,48,12,無,無,有,無,無,無
3,熱源機械室,事務所等,機械室,49.7,3.95,3.8,7.1,7,1.3,FSR2-32,,48,8,無,無,有,無,無,無
3,電気室,事務所等,電気室,27.27,3.95,3.8,4.1,6.65,0.9,FSR2-32,,48,3,無,無,有,無,無,無
3,通信機械室,事務所等,電算事務室,12.65,3.95,2.7,5.5,2.3,0.6,FSS9-32,,48,2,無,無,有,無,無,無
3,休憩室3,事務所等,喫茶室,17.64,3.95,2.7,7,8.65,,FRS27-32,,95,4,無,無,有,無,無,無
,,,,,,,,,,FRL12-P45,,190,1,無,無,有,無,無,無
3,廊下3-2,事務所等,廊下,15.75,3.95,2.7,10.5,1.5,0.5,LRS1-1800LM,,28.1,4,減光,無,無,無,無,無
3,廊下3-3,事務所等,廊下,6.3,3.95,2.7,2.8,4.45,0.6,LRS1-1800LM,,28.1,2,減光,無,無,無,無,無
3,男子便所3,事務所等,便所,7.5,3.95,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
3,女子便所3,事務所等,便所,7.5,3.95,2.5,5,1.5,0.5,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
3,多目的便所3,事務所等,便所,4.6,3.95,2.5,2,2.3,0.4,LRS1-1800LM,,28.1,2,無,無,無,無,無,無
1,階段室1-1,事務所等,廊下,20.8,4.15,2.4,3,6.5,0.9,FD2-FRS26-32,,95,1,無,無,無,無,無,無
,,,,,,,,,,FDS2-SK1-FBF15-32,,48,1,無,無,無,無,無,無
1,階段室1-2,事務所等,廊下,20.8,4.15,2.4,3,6.5,0.9,FD2-FRS26-32,,95,1,無,無,無,無,無,無
,,,,,,,,,,FDS2-SK1-FBF15-32,,48,1,無,無,無,無,無,無
2,階段室2-1,事務所等,廊下,20.8,4.1,2.4,3.2,6.5,0.9,FD2-FRS26-32,,95,1,無,無,無,無,無,無
,,,,,,,,,,FDS2-SK1-FBF15-32,,48,1,無,無,無,無,無,無
