様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,6.8,12.5,,埋込下面ルーバー,,94,18,,,,,,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,5.2,4.3,,埋込下面開放,,95,4,,,,,,
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,3.3,6.7,,直付富士型,,95,3,,,,,,
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,,,0.854700854700855,埋込下面開放,,95,2,,,,,,
B1F,受水槽室,事務所等,機械室,91.2,5.5,5.5,9.4,9.7,,反射笠付,,95,4,,,,,,
B1F,機械室,事務所等,機械室,238.5,5.5,5.5,,,0.917562724014337,反射笠付,,95,7,,,,,,
,,,,,,,,,,反射笠付,,48,2,,,,,,
B1F,発電機室,事務所等,電気室,70.2,5.5,5.5,12.1,5.8,,反射笠付,,95,3,,,,,,
B1F,電気室,事務所等,電気室,79.8,5.5,5.5,8.4,9.5,,反射笠付,,95,4,,,,,,
B1F,MDF室,事務所等,電気室,21.8,5.5,5.5,2.6,8.4,,反射笠付,,95,1,,,,,,
B1F,廊下,事務所等,廊下,80.9,5.5,2.4,,,0.750742390497402,ﾀﾞｳﾝﾗｲﾄ,,48,24,,減光,,,,
B1F,階段室Ｎ,事務所等,廊下,22.4,5.5,5.5,3.2,7,,,,179.2,1,,,,,,
B1F,乗降ロビー,事務所等,ロビー,11.2,5.5,2.4,2.6,4.3,,,,123.2,1,,,,,,
B1F,DS,事務所等,機械室,7,5.5,5.5,1,7,,直付富士型,,22,2,,,,,,
B1F,PS1,事務所等,機械室,3.4,5.5,5.5,1.2,2.8,,直付富士型,,22,1,,,,,,
B1F,倉庫1,事務所等,更衣室,16.2,5.5,5.5,2.8,5.8,,直付富士型,,95,2,,,,,,
B1F,倉庫2,事務所等,更衣室,45.2,5.5,5.5,,,0.398940864960282,直付富士型,,95,5,,,,,,
B1F,PS2,事務所等,機械室,3.4,5.5,5.5,1.2,2.8,,直付富士型,,22,1,,,,,,
B1F,便所,事務所等,便所,7.8,5.5,2.4,2.8,2.8,,ﾀﾞｳﾝﾗｲﾄ,,48,4,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,5.5,2.4,2.4,3.2,,埋込下面開放,,95,1,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
B1F,シャワー室,事務所等,湯沸室等,8.4,5.5,2.4,3,2.8,,ﾀﾞｳﾝﾗｲﾄ,,48,4,,,,,,
B1F,消火ポンプ室,事務所等,機械室,15,5.5,5.5,3.6,4.4,,直付富士型,,48,2,,,,,,
B1F,倉庫3,事務所等,更衣室,9.4,5.5,5.5,2.6,3.6,,直付富士型,,95,1,,,,,,
B1F,階段室S,事務所等,廊下,22.4,5.5,5.5,3.2,7,,,,179.2,1,,,,,,
1F,1F事務室,事務所等,事務室,605.2,4,2.6,,,5.32386759581882,埋込下面ルーバー,,94,118,6.4m角点滅,減光,明るさセンサー,両側採光、ブラインド自動制御あり,,
1F,警備員室,事務所等,中央監視室,17.8,4,2.6,3.3,5.4,,埋込下面ルーバー,,94,4,,,明るさセンサー,,,
1F,エントランスホール,事務所等,ロビー,201.6,4,6.4,9,22.4,,ﾀﾞｳﾝﾗｲﾄ,,95,60,,,,,,
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.2,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
1F,廊下,事務所等,廊下,88.6,4,2.4,,,0.696451204055767,ﾀﾞｳﾝﾗｲﾄ,,48,25,,減光,,,,
1F,階段室Ｎ,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
1F,乗降ロビー,事務所等,ロビー,11.2,4,2.4,2.6,4.3,,,,123.2,1,,,,,,
1F,DS,事務所等,機械室,7,4,4,1,7,,直付富士型,,22,2,,,,,,
1F,機械室1,事務所等,機械室,22.4,4,4,3.2,7,,直付富士型,,48,2,,,,,,
1F,PS1,事務所等,機械室,3.4,4,4,1.2,2.8,,直付富士型,,22,1,,,,,,
1F,男子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,ﾀﾞｳﾝﾗｲﾄ,,48,6,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
1F,EPS,事務所等,電気室,6.1,4,4,6.1,1,,直付富士型,,22,2,,,,,,
1F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9,1,,直付富士型,,22,1,,,,,,
1F,PS2,事務所等,機械室,3.4,4,4,1.2,2.8,,直付富士型,,22,1,,,,,,
1F,女子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,ﾀﾞｳﾝﾗｲﾄ,,48,6,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
1F,多目的便所,事務所等,便所,4,4,2.4,2,2,,ﾀﾞｳﾝﾗｲﾄ,,48,2,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
1F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2,3.2,,埋込下面開放,,48,1,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
1F,倉庫2,事務所等,更衣室,6.6,4,2.4,,,0.318269230769231,直付富士型,,95,1,,,,,,
1F,機械室2,事務所等,機械室,25.2,4,4,3.6,7,,直付富士型,,48,2,,,,,,
1F,階段室S,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
1F,風除室,事務所等,廊下,15.4,4,3,4.4,3.5,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
2F,2F会議室,事務所等,会議室,623,4,2.6,37,17,,埋込下面ルーバー,,94,120,6.4m角点滅,減光,明るさセンサー,両側採光、ブラインド自動制御あり,,
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.4,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
2F,廊下,事務所等,廊下,88.6,4,2.4,,,0.696451204055767,ﾀﾞｳﾝﾗｲﾄ,,48,25,,減光,,,,
2F,階段室N,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
2F,乗降ロビー,事務所等,ロビー,11.2,4,2.4,2.6,4.3,,,,123.2,1,,,,,,
2F,DS,事務所等,機械室,7,4,4,1,7,,直付富士型,,22,2,,,,,,
2F,機械室1,事務所等,機械室,22.4,4,3.8,3.2,7,,直付富士型,,48,2,,,,,,
2F,PS1,事務所等,機械室,3.4,4,4,1.2,2.8,,直付富士型,,22,1,,,,,,
2F,男子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,ﾀﾞｳﾝﾗｲﾄ,,48,6,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
2F,EPS,事務所等,電気室,6.1,4,4,6.1,1,,直付富士型,,22,2,,,,,,
2F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9,1,,直付富士型,,22,1,,,,,,
2F,PS2,事務所等,機械室,3.4,4,4,1.2,2.8,,直付富士型,,22,1,,,,,,
2F,女子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,ﾀﾞｳﾝﾗｲﾄ,,48,6,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
2F,多目的便所,事務所等,便所,4,4,2.4,2,2,,ﾀﾞｳﾝﾗｲﾄ,,48,2,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
2F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2,3.2,,直付富士型,,48,1,一括点滅,,,,,
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,,22,1,一括点滅,,,,,
