様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
OW1,外壁,,,室内側,,
,,,32,石こう板、ラスボード,8,
,,,92,非密閉空気層,,
,,,22,普通コンクリート,150,
,,,27,モルタル,25,
,,,36,タイル,10,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SBW1,接地壁,,,室内側,,
,,,41,合成樹脂・リノリウム,3,
,,,27,モルタル,27,
,,,22,普通コンクリート,150,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OR1,外壁,,,室内側,,
,,,75,岩綿吸音板,12,
,,,32,石こう版、ラスボード,10,
,,,92,非密閉空気層,,
,,,22,普通コンクリート,150,
,,,27,モルタル,15,
,,,43,FRP,5,
,,,27,モルタル,15,
,,,82,スチレン発砲版（押出）,25,
,,,22,普通コンクリート,60,
,,,,,,
