様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F,1,空調機,81.0968,33.8912,14585.32,10.1371,,,0.75,定風量制御,0,無,無,有,2920,60,有,0.1,PC1,PH1,AHP,AHP,
AC2F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC3F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC4F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC5F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC6F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC7F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
AC8F,1,空調機,83.482,34.888,15014.3,10.43525,,,0.75,定風量制御,0,無,無,有,3010,60,有,0.1,PC1,PH1,AHP,AHP,
ACEN,1,空調機,27.0144,11.2896,4858.56,3.3768,,,0.1,定風量制御,0,無,無,有,980,60,有,0.1,PC1,PH1,AHP,AHP,
OCRS,1,空調機,69.7336,29.1424,12541.64,8.7167,,,0.75,定風量制御,0,無,無,有,2510,60,有,0.1,PC1,PH1,AHP,AHP,
FCU4,1,空調機,1.608,0.672,289.2,0.201,,,,定風量制御,0,無,無,有,60,60,有,0.1,PC1,PH1,AHP,AHP,
FCU6,1,空調機,3.0016,1.2544,539.84,0.3752,,,,定風量制御,0,無,無,有,110,60,有,0.1,PC1,PH1,AHP,AHP,
FCU8,23,空調機,1.96106086956522,0.819547826086957,352.698260869565,0.245132608695652,,,,定風量制御,0,無,無,有,80,60,有,0.1,PC1,PH1,AHP,AHP,
ACCI,1,空調機,11.39,4.76,2048.5,1.42375,,,,定風量制御,0,無,無,有,410,60,有,0.1,PC1,PH1,AHP,AHP,
ACSI,1,空調機,2.9614,1.2376,532.61,0.370175,,,,定風量制御,0,無,無,有,110,60,有,0.1,PC1,PH1,AHP,AHP,
ACKI,1,空調機,2.3852,0.9968,428.98,0.29815,,,,定風量制御,0,無,無,有,90,60,有,0.1,PC1,PH1,AHP,AHP,
,,,,,,,,,,,,,,,,,,,,,,,
