様式 4-2. (給湯)給湯機器入力シート,,,,,,,,
,,,,,,,,
,,,,,,,,
①,②,③,④,⑤,太陽熱利用,,,⑨
,,,,,⑥,⑦,⑧,
給湯機器名称,定格加熱能力,定格熱源効率,配管保温仕様,接続口径,有効集熱面積,集熱面の方位角,集熱面の傾斜角,備考
,,,,,,,,
,[kW],[-],,[mm],[㎡],[°],[°],
,,,(選択),,,,,
,,,,,,,,
EH-3-B1,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-1,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-1,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-1,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-2,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-2,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-2,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-3,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-3,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-3,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-4,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-4,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-4,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-5,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-5,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-5,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-6,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-6,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-6,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-7,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-7,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-7,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-8,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-8,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-8,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-9,1.5,0.3,保温仕様3,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-9,1.5,0.3,保温仕様3,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-9,3,0.3,保温仕様3,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-4,10,0.3,保温仕様3,20,,,,電気給湯機（B1F　シャワー室）
EH-5,40,0.8,保温仕様3,60,,,,ガスボイラー(厨房）
,,,,,,,,
