様式 4-1. (給湯)給湯対象室入力シート,,,,,,,


①,①,①,①,①,②,③,④

階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)

B1F,中央監視室,事務所等,中央監視室,85,,無,EH-3-B1
,,,,,,無,EH-4
B1F,清掃員控室,事務所等,更衣室,22.4,,無,EH-3-B1
,,,,,,無,EH-4
1F,1F事務室,事務所等,事務室,605.2,,無,EH-1-1
,,,,,,無,EH-2-1
,,,,,,無,EH-3-1
1F,警備員室,事務所等,中央監視室,17.8,,無,EH-1-1
,,,,,,無,EH-2-1
,,,,,,無,EH-3-1
2F,2F会議室,事務所等,会議室,623,,無,EH-1-2
,,,,,,無,EH-2-2
,,,,,,無,EH-3-2
3F,3F事務室,事務所等,事務室,623,,無,EH-1-3
,,,,,,無,EH-2-3
,,,,,,無,EH-3-3
4F,4F事務室,事務所等,事務室,623,,無,EH-1-4
,,,,,,無,EH-2-4
,,,,,,無,EH-3-4
5F,5F事務室,事務所等,事務室,623,,無,EH-1-5
,,,,,,無,EH-2-5
,,,,,,無,EH-3-5
6F,6F事務室,事務所等,事務室,623,,無,EH-1-6
,,,,,,無,EH-2-6
,,,,,,無,EH-3-6
7F,7F事務室,事務所等,事務室,623,,無,EH-1-7
,,,,,,無,EH-2-7
,,,,,,無,EH-3-7
8F,8F事務室,事務所等,事務室,495.1,,無,EH-1-8
,,,,,,無,EH-2-8
,,,,,,無,EH-3-8
8F,セミナールーム,事務所等,会議室,127.9,,無,EH-1-9
,,,,,,無,EH-2-9
,,,,,,無,EH-3-9
9F,9F食堂,事務所等,社員食堂,520.4,,無,EH-5
