様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F,1,空調機,72.624,72.624,13072.32,9.078,,,0.75,定風量制御,,無,無,有,2620,60,有,0.1,PC1,PH1,AHP,AHP,
AC2F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC3F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC4F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC5F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC6F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC7F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
AC8F,1,空調機,74.76,74.76,13456.8,9.345,,,0.75,定風量制御,,無,無,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,
ACEN,1,空調機,24.192,24.192,4354.56,3.024,,,0.1,定風量制御,,無,無,有,880,60,有,0.1,PC1,PH1,AHP,AHP,
OCRS,1,空調機,62.448,62.448,11240.64,7.806,,,0.75,定風量制御,,無,無,有,2250,60,有,0.1,PC1,PH1,AHP,AHP,
FCU4,1,空調機,1.44,1.44,259.2,0.18,,,,定風量制御,,無,無,有,60,60,有,0.1,PC1,PH1,AHP,AHP,
FCU6,1,空調機,2.688,2.688,483.84,0.336,,,,定風量制御,,無,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,
FCU8,23,空調機,1.75617391304348,1.75617391304348,316.111304347826,0.219521739130435,,,,定風量制御,,無,無,有,70,60,有,0.1,PC1,PH1,AHP,AHP,
ACCI,1,空調機,10.2,10.2,1836,1.275,,,,定風量制御,,無,無,有,370,60,有,0.1,PC1,PH1,AHP,AHP,
ACSI,1,空調機,2.652,2.652,477.36,0.3315,,,,定風量制御,,無,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,
ACKI,1,空調機,2.136,2.136,384.48,0.267,,,,定風量制御,,無,無,有,80,60,有,0.1,PC1,PH1,AHP,AHP,
,,,,,,,,,,,,,,,,,,,,,,,
