様式 3-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
?,②,?,制御による補正,,
,,,④,⑤,⑥
換気機器名称,定格風量,電動機定格消費電力,高効率電動機の有無,インバータの有無,送風量制御
,,,,,
,[?/h],[kW],,,
,,,(選択）,(選択）,(選択）
,,,,,
FS-B1-A-4,1400,0.30 ,,,
FS-B1-A-5,600,0.15 ,,,
FS-B1-M-1,6060,1.50 ,,有,
FS-B1-M-2,300,0.07 ,,,
FS-B1-M-3,1050,0.30 ,,,
FS-B1-M-4,950,0.30 ,,,
FS-B1-M-5,1700,0.80 ,,,
FS-B1-B-1,1150,0.30 ,,,
FS-B1-B-2,500,0.20 ,,,
FS-B1-B-3,900,0.30 ,,,
FS-3-D-2,100,0.05 ,,,
FS-6-M-2,700,0.15 ,,,
FS-6-M-3,200,0.05 ,,,
FS-7-S-1,400,0.05 ,,,
FS-PH-M-1,1200,0.30 ,,,
FS-PH-M-2,850,0.20 ,,,温度制御
FS-PH-M-3,850,0.20 ,,,温度制御
FS-PH-M-4,1000,0.20 ,,,
FE-B1-A-4,1400,0.75 ,,,
FE-B1-A-6,100,0.05 ,,,
FE-B1-A-7,100,0.05 ,,,
FE-B1-A-8,250,0.07 ,,,
FE-B1-A-9,50,0.05 ,,,
FE-B1-M-1,6060,1.50 ,,有,
FE-B1-M-2,300,0.07 ,,,
FE-B1-M-3,1050,0.24 ,,,温度制御
FE-B1-M-4,950,0.24 ,,,
FE-B1-M-5,1700,0.55 ,,,
FE-B1-M-6,300,0.05 ,,,
FE-B1-B-1,1150,0.27 ,,,
FE-B1-B-2,500,0.10 ,,,
FE-B1-B-3,900,0.27 ,,,
FE-B1-C-1,32000,11.00 ,,有,CO濃度制御
FE-B1-T-1,50,0.05 ,,,
FE-B1-W-1,100,0.25 ,,,
FE-B1-W-2,100,0.25 ,,,
FE-B1-A-10,50,0.50 ,,,
FE-1-T-1,200,0.07 ,,,
FE-1-T-2,850,0.30 ,,,
FE-1-W-1,1050,0.27 ,,,
FE-1-W-2,1100,0.27 ,,,
FE-1-W-3,250,0.07 ,,,
FE-1-M-4,50,0.02 ,,,
FE-2-A-4,200,0.05 ,,,
FE-2-T-1-1,150,0.03 ,,,
FE-2-T-1-2,150,0.03 ,,,
FE-2-T-2,100,0.05 ,,,
FE-2-T-3,100,0.05 ,,,
FE-2-W-1,750,0.20 ,,,
FE-2-W-2,600,0.15 ,,,
FE-2-W-3,200,0.05 ,,,
FE-3-T-1-1,150,0.03 ,,,
FE-3-T-1-2,150,0.03 ,,,
FE-3-T-2,100,0.05 ,,,
FE-3-T-3,150,0.05 ,,,
FE-3-T-4,100,0.05 ,,,
FE-3-T-5,250,0.05 ,,,
FE-3-W-1,750,0.20 ,,,
FE-3-W-2,600,0.15 ,,,
FE-3-W-3,200,0.05 ,,,
FE-3-W-4,150,0.05 ,,,
FE-3-W-5,150,0.05 ,,,
FE-3-D-2,100,0.05 ,,,
FE-4-T-1-1,150,0.03 ,,,
FE-4-T-1-2,150,0.03 ,,,
FE-4-T-2,100,0.05 ,,,
FE-4-T-3,100,0.05 ,,,
FE-4-W-1,750,0.20 ,,,
FE-4-W-2,600,0.15 ,,,
FE-4-W-3,200,0.05 ,,,
FE-5-B-1,250,0.07 ,,,
FE-5-B-3,600,0.15 ,,,
FE-5-T-1-1,150,0.03 ,,,
FE-5-T-1-2,150,0.03 ,,,
FE-5-T-3,100,0.05 ,,,
FE-5-T-4,100,0.05 ,,,
FE-5-W-1,750,0.20 ,,,
FE-5-W-2,600,0.15 ,,,
FE-5-W-3,200,0.05 ,,,
FE-6-T-1-1,150,0.03 ,,,
FE-6-T-1-2,150,0.03 ,,,
FE-6-M-2,700,0.10 ,,,
FE-6-M-3,200,0.05 ,,,
FE-6-W-1,550,0.10 ,,,
FE-6-W-2,650,0.10 ,,,
FE-7-S-1,400,0.05 ,,,
FE-7-T-1-1,100,0.03 ,,,
FE-7-T-1-2,100,0.03 ,,,
FE-7-W-1,550,0.10 ,,,
FE-7-W-2,650,0.10 ,,,
FE-8-T-1-1,100,0.03 ,,,
FE-8-T-1-2,100,0.03 ,,,
FE-8-W-1,550,0.10 ,,,
FE-8-W-2,650,0.10 ,,,
FE-9-T-1-1,100,0.03 ,,,
FE-9-T-1-2,100,0.03 ,,,
FE-9-W-1,550,0.10 ,,,
FE-9-W-2,650,0.10 ,,,
FE-10-T-1-1,100,0.03 ,,,
FE-10-T-1-2,100,0.03 ,,,
FE-10-W-1,550,0.10 ,,,
FE-10-W-2,650,0.10 ,,,
FE-11-T-1-1,100,0.03 ,,,
FE-11-T-1-2,100,0.03 ,,,
FE-11-W-1,550,0.10 ,,,
FE-11-W-2,650,0.10 ,,,
FE-12-T-1-1,100,0.03 ,,,
FE-12-T-1-2,100,0.03 ,,,
FE-12-W-1,550,0.10 ,,,
FE-12-W-2,650,0.10 ,,,
FE-13-T-1-1,100,0.03 ,,,
FE-13-T-1-2,100,0.03 ,,,
FE-13-W-1,550,0.10 ,,,
FE-13-W-2,650,0.10 ,,,
FE-14-T-1-1,100,0.03 ,,,
FE-14-T-1-2,100,0.03 ,,,
FE-14-W-1,550,0.10 ,,,
FE-14-W-2,650,0.10 ,,,
FE-15-T-1-1,100,0.03 ,,,
FE-15-T-1-2,100,0.03 ,,,
FE-15-W-1,550,0.10 ,,,
FE-15-W-2,650,0.10 ,,,
FE-16-T-1-1,100,0.03 ,,,
FE-16-T-1-2,100,0.03 ,,,
FE-16-W-1,550,0.10 ,,,
FE-16-W-2,650,0.10 ,,,
FE-17-T-1,200,0.05 ,,,
FE-17-T-3,50,0.02 ,,,
FE-17-T-4,250,0.05 ,,,
FE-17-T-5,100,0.02 ,,,
FE-17-W-1,700,0.15 ,,,
FE-17-W-2,650,0.15 ,,,
FE-17-W-3,200,0.05 ,,,
FE-PH-M-1,1200,0.30 ,,,
FE-PH-M-2,850,0.20 ,,,温度制御
FE-PH-M-3,850,0.20 ,,,温度制御
FE-PH-M-4,1000,0.20 ,,,温度制御
