様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭,
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御,
,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,,,,
B1F,中央監視盤室,学校等,事務室,27.00 ,,3.00 ,,,1.0 ,ベーシックベースライト(調光可能),Ca322C,72,8,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,特別研究スペース,学校等,研究室,45.50 ,,4.00 ,,,1.1 ,ベーシックベースライト(調光可能),Ca322C,72,14,,,,,,,
,,,,,,,,,,流し元灯,N21,24,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,警備用仮眠室,学校等,宿直室,12.00 ,,3.00 ,,,0.6 ,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,清掃員控室,学校等,事務室,21.00 ,,2.50 ,,,1.2 ,埋込下面開放,A321,42,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,ゴミ庫,学校等,厨芥置き場等,17.50 ,,4.20 ,,,0.4 ,反射笠付,K322,42,5,,,,,,,
B1F,更衣室（男）,学校等,湯沸室等,9.00 ,,2.50 ,,,0.6 ,埋込下面開放,A322,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,更衣室（女）,学校等,湯沸室等,9.00 ,,2.50 ,,,0.6 ,埋込下面開放,A322,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,洗濯室,学校等,湯沸室等,8.00 ,,3.00 ,,,0.4 ,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,用具庫,学校等,湯沸室等,2.00 ,,4.20 ,,,0.2 ,片反射笠付,L21,26,1,,,,,,,
B1F,倉庫1,学校等,湯沸室等,4.50 ,,3.00 ,,,0.3 ,片反射笠付,L21,26,1,,,,,,,
B1F,電気室,学校等,電気・機械室（高発熱）,84.00 ,,4.20 ,,,1.1 ,反射笠付,K321,42,13,,,,,,,
,,,,,,,,,,非常用照明器具,ec41d,40,5,,,,,,,
B1F,非常用発電機室,学校等,電気・機械室（標準）,67.50 ,,4.20 ,,,1.0 ,反射笠付,K321,42,8,,,,,,,
,,,,,,,,,,非常用照明器具,ec41d,40,4,,,,,,,
B1F,排気・排煙ファン室,学校等,電気・機械室（標準）,49.50 ,,4.20 ,,,0.8 ,反射笠付,K321,42,6,,,,,,,
B1F,ポンプ室,学校等,電気・機械室（標準）,48.00 ,,4.20 ,,,0.7 ,反射笠付,K321,42,6,,,,,,,
,,,,,,,,,,非常用照明器具,ec41d,40,2,,,,,,,
B1F,受水槽室,学校等,電気・機械室（標準）,76.50 ,,4.20 ,,,1.0 ,反射笠付,K321,42,8,,,,,,,
,,,,,,,,,,片反射笠付,L321g,42,4,,,,,,,
B1F,防災備蓄倉庫,学校等,湯沸室等,12.00 ,,4.20 ,,,0.4 ,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
B1F,修士論文収納庫,学校等,湯沸室等,60.00 ,,4.20 ,,,0.8 ,埋込下面開放,A321,42,10,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
B1F,設備管理用倉庫,学校等,湯沸室等,26.00 ,,4.20 ,,,0.6 ,埋込下面開放,A321,42,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
B1F,管理用倉庫,学校等,湯沸室等,48.00 ,,4.20 ,,,0.7 ,埋込下面開放,A321,42,5,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
B1F,駐車場,学校等,屋内駐車場,800,,4.2,,,3.2,逆富士型,F301,39,22,,,,,,,
,,,,,,,,,,逆富士型,F352,46,39,,,,,,,
,,,,,,,,,,ブラケット,WL27w,3,15,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,非常用照明器具,ec41d,40,13,,,,,,,
,,,,,,,,,,廊下通路誘導灯(壁埋込型),Yc11E,2.4,2,,,,,,,
,,,,,,,,,,廊下通路誘導灯(壁・天井直付型),Yb12E,3,3,,,,,,,
B1F,給湯室1,学校等,湯沸室等,2.25,,2.4,,,0.3,流し元灯,N21,24,1,,,,,,,
B1F,男WC1,学校等,トイレ,2,,2.4,,,0.3,ダウンライト,aa241,31,1,,,,,,,
B1F,女WC1,学校等,トイレ,2,,2.4,,,0.3,ダウンライト,aa241,31,1,,,,,,,
B1F,非常用ロビー兼用付室,学校等,湯沸室等,15,,2.7,,,0.7,ダウンライト,aL141,16,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,4,,,,,,,
1F,国際会議場,学校等,講堂,154,,5,,,1.2,非常用照明器具(高天井用),eb751d,75,5,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb21E,4,2,,,,,,,
,,,,,,,,,,ダウンライト,aL231,26,4,,,,,,,
,,,,,,,,,,床埋込型アッパーライト,u175w,23,10,,,,,,,
1F,調整室,学校等,講堂,17.5,,3,,,0.6,埋込下面開放,A321,42,1,,,,,,,
,,,,,,,,,,#N/A,C321,39,4,,,,,,,
,,,,,,,,,,非常用照明器具(高天井用),eb751d,75,1,,,,,,,
1F,準備室兼講師控室1,学校等,事務室,10.5,,2.7,,,0.9,#N/A,C321,39,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
1F,準備室兼講師控室2,学校等,事務室,9,,2.7,,,0.8,#N/A,C321,39,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
1F,受付,学校等,事務室,19.5,,4.5,,,0.6,LEDライン照明,RaL261,34,7,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,ダウンライト,aL231,26,29,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,4,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb21E,4,1,,,,,,,
1F,多目的室,学校等,教室（大学）,249.6,,5.5,,,1.6,ダウンライト,aL791C,87,66,,,,,,,
,,,,,,,,,,反射笠付,K321,42,18,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,66,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb21E,4,18,,,,,,,
1F,ラウンジ,学校等,事務室,52,,4.5,,,0.8,ダウンライト,aL231,26,26,,,,,,,
,,,,,,,,,,非常用照明器具(高天井用),eb751d,75,2,,,,,,,
1F,エントランスホール,学校等,事務室,65,,4.5,,,1,ダウンライト,aL231,26,35,,,,,,,
,,,,,,,,,,非常用照明器具(高天井用),eb751d,75,2,,,,,,,
1F,ラウンジ1,学校等,事務室,240,,5,,,1.8,ダウンライト,aL231,26,49,,,,,,,
,,,,,,,,,,非常用照明器具(高天井用),eb751d,75,3,,,,,,,
,,,,,,,,,,廊下通路誘導灯(天井埋込型),Ya12E,3,1,,,,,,,
1F,倉庫1,学校等,湯沸室等,14,,2.7,,,0.6,埋込下面開放,A321,42,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
1F,倉庫2,学校等,湯沸室等,25,,2.7,,,0.9,埋込下面開放,A322,42,4,,,,,,,
,,,,,,,,,,埋込下面開放,A321,42,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,3,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
1F,非EVロビー兼用付室,学校等,湯沸室等,25.5,,2.7,,,0.8,LEDライン照明,RaL261,34,5,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,ダウンライト,aL231,26,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
