様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
B1F,中央監視盤室,学校等,事務室,37,5.8,3,■,,■,■,
B1F,特別研究スペース,学校等,研究室,46,5.8,4,■,,■,■,
B1F,警備用仮眠室,学校等,宿直室,15,5.8,3,■,,■,■,
B1F,清掃員控室,学校等,事務室,26,5.8,2.5,■,,■,■,
B1F,ゴミ庫,学校等,ゴミ置場等,28,5.8,4.2,,■,■,,
B1F,更衣室（男）,学校等,湯沸室等,8,5.8,2.5,,■,■,,
B1F,更衣室（女）,学校等,湯沸室等,7,5.8,2.5,,■,■,,
B1F,洗濯室,学校等,湯沸室等,9,5.8,3,,■,■,,
B1F,用具庫,学校等,湯沸室等,2,5.8,4.2,,■,■,,
B1F,倉庫1,学校等,湯沸室等,3,5.8,3,,■,■,,
B1F,電気室,学校等,電気室,117,5.8,4.2,,■,■,,
B1F,非常用発電機室,学校等,機械室,71,5.8,4.2,,■,■,,
B1F,排気・排煙ファン室,学校等,機械室,52,5.8,4.2,,■,■,,
B1F,ポンプ室,学校等,機械室,51,5.8,4.2,,■,■,,
B1F,受水槽室,学校等,機械室,84,5.8,4.2,,■,■,,
B1F,防災備蓄倉庫,学校等,湯沸室等,13,5.8,4.2,,■,■,,
B1F,修士論文収納庫,学校等,湯沸室等,62,5.8,4.2,,■,■,,
B1F,設備管理用倉庫,学校等,湯沸室等,27,5.8,4.2,,■,■,,
B1F,管理用倉庫,学校等,湯沸室等,52,5.8,4.2,,■,■,,
B1F,駐車場,学校等,屋内駐車場,793,5.8,4.2,,■,■,,
B1F,給湯室1,学校等,湯沸室等,2,5.8,2.4,,■,■,,
B1F,男WC1,学校等,便所,3,5.8,2.4,,■,■,,
B1F,女WC1,学校等,便所,3,5.8,2.4,,■,■,,
B1F,非常用ロビー兼用付室,学校等,湯沸室等,16,5.8,2.7,,,■,,
1F,国際会議場,学校等,講堂,216,6.15,5,■,,■,■,
1F,調整室,学校等,講堂,25,6.15,3,■,,■,■,
1F,準備室兼講師控室1,学校等,事務室,9,6.15,2.7,■,,■,■,
1F,準備室兼講師控室2,学校等,事務室,5,6.15,2.7,■,,■,■,
1F,受付,学校等,事務室,125,6.15,4.5,■,,■,,
1F,多目的室,学校等,大学教室,300,6.15,5.5,■,,■,■,
1F,ラウンジ,学校等,事務室,60,6.15,4.5,■,,■,,
