様式 3-1. (換気)換気対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
①,①,①,①,①,②,③,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称,,,,
,,,,,,,,,,
,,,,[㎡],(給気/排気/循環/空調),,,,,
(転記),(転記),(転記),(転記),(転記),(選択),(転記),,,,
,,,,,,,,,,
B1F,ゴミ庫,学校等,厨芥置き場等,28,給気,FS-B1-A-4,,,,
,,,,,排気,FE-B1-A-4,,,,
B1F,更衣室（男）,学校等,湯沸室等,8.0 ,排気,FE-B1-A-6,,,,
B1F,更衣室（女）,学校等,湯沸室等,7.0 ,排気,FE-B1-A-7,,,,
B1F,洗濯室,学校等,湯沸室等,9.0 ,排気,FE-B1-A-8,,,,
B1F,用具庫,学校等,湯沸室等,2.0 ,排気,FE-B1-A-9,,,,
B1F,電気室,学校等,電気・機械室（高発熱）,117.0 ,給気,FS-B1-M-1,,,,
,,,,,排気,FE-B1-M-1,,,,
,,,,,冷房,PAC-B1-1,,,,
B1F,非常用発電機室,学校等,電気・機械室（標準）,71.0 ,給気,FS-B1-M-2,,,,
,,,,,排気,FE-B1-M-2,,,,
B1F,排気・排煙ファン室,学校等,電気・機械室（標準）,52.0 ,給気,FS-B1-M-3,,,,
,,,,,排気,FE-B1-M-3,,,,
B1F,ポンプ室,学校等,電気・機械室（標準）,51.0 ,給気,FS-B1-M-4,,,,
,,,,,排気,FE-B1-M-4,,,,
B1F,受水槽室,学校等,電気・機械室（標準）,84.0 ,給気,FS-B1-M-5,,,,
,,,,,排気,FE-B1-M-5,,,,
B1F,防災備蓄倉庫,学校等,湯沸室等,13.0 ,排気,FE-B1-M-6,,,,
B1F,修士論文収納庫,学校等,湯沸室等,62.0 ,給気,FS-B1-B-1,,,,
,,,,,排気,FE-B1-B-1,,,,
B1F,設備管理用倉庫,学校等,湯沸室等,27.0 ,給気,FS-B1-B-2,,,,
,,,,,排気,FE-B1-B-2,,,,
B1F,管理用倉庫,学校等,湯沸室等,52.0 ,給気,FS-B1-B-3,,,,
,,,,,排気,FE-B1-B-3,,,,
B1F,駐車場,学校等,屋内駐車場,793.0 ,排気,FE-B1-C-1,,,,
B1F,給湯室1,学校等,湯沸室等,2.0 ,排気,FE-B1-T-1,,,,
B1F,男WC1,学校等,トイレ,3.0 ,排気,FE-B1-W-1,,,,
B1F,女WC1,学校等,トイレ,3.0 ,排気,FE-B1-W-2,,,,
B1F,倉庫1,学校等,湯沸室等,3.0 ,排気,FE-B1-A-10,,,,
1F,倉庫1,学校等,湯沸室等,13.0 ,排気,FE-1-T-1,,,,
1F,倉庫2,学校等,湯沸室等,66.0 ,排気,FE-1-T-2,,,,
1F,男WC2,学校等,トイレ,34.0 ,排気,FE-1-W-1,,,,
1F,女WC2,学校等,トイレ,28.0 ,排気,FE-1-W-2,,,,
1F,多目的WC2,学校等,トイレ,6.0 ,排気,FE-1-W-3,,,,
1F,MDF室,学校等,電気・機械室（高発熱）,10.0 ,排気,FE-1-M-4,,,,
,,,,,冷房,PAC-1-1,,,,
2F,倉庫3,学校等,湯沸室等,19.0 ,排気,FE-2-T-1-1,,,,
