様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
B1F,中央監視盤室,学校等,事務室,37,,有,EHW-2-B1a,,,,
,,,,,,有,EHW-4-B1a,,,,
,,,,,,有,EHW-4-B1b,,,,
B1F,特別研究スペース,学校等,研究室,46,,有,EHW-2-B1a,,,,
,,,,,,有,EHW-3-B1a,,,,
,,,,,,有,EHW-4-B1a,,,,
,,,,,,有,EHW-4-B1b,,,,
,,,,,,有,EHW-4-B1c,,,,
B1F,警備用仮眠室,学校等,宿直室,15,,有,EHW-2-B1a,,,,
,,,,,,有,EHW-3-B1a,,,,
,,,,,,有,EHW-4-B1a,,,,
,,,,,,有,EHW-4-B1b,,,,
B1F,清掃員控室,学校等,事務室,26,,有,EHW-2-B1a,,,,
,,,,,,有,EHW-4-B1a,,,,
,,,,,,有,EHW-4-B1b,,,,
1F,国際会議場,学校等,講堂,28,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
1F,調整室,学校等,講堂,25,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
1F,準備室兼講師控室1,学校等,事務室,7,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
1F,準備室兼講師控室2,学校等,事務室,9,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
1F,多目的室,学校等,教室（大学）,300,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
1F,中央管理室,学校等,事務室,30,,有,EHW-1-1a,,,,
,,,,,,有,EHW-1-1b,,,,
,,,,,,有,EHW-1-1c,,,,
2F,教員執務室,学校等,事務室,59,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,国際連携役職室,学校等,事務室,50.4,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,国際連携部事務室,学校等,事務室,165.3,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,会議室,学校等,事務室,18.9,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,留学生カウンセリング兼打合せスペース1,学校等,事務室,16.5,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,留学生カウンセリング兼打合せスペース2,学校等,事務室,16.5,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,講義室201,学校等,教室（大学）,141,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,留学生特別室,学校等,事務室,22,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
,,,,,,有,EHW-4-2a,,,,
,,,,,,有,EHW-4-2b,,,,
2F,資料室,学校等,事務室,46,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
2F,留学生ラウンジ,学校等,教室（大学）,84,,有,EHW-1-2a,,,,
,,,,,,有,EHW-1-2b,,,,
,,,,,,有,EHW-2-2a,,,,
3F,演習室301,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室302,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室303,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室304,学校等,教室（大学）,75,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,演習室305,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室306,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室307,学校等,教室（大学）,25,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室308,学校等,教室（大学）,25,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,演習室309,学校等,教室（大学）,25,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,演習室310,学校等,教室（大学）,49,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,演習室311,学校等,教室（大学）,27,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,演習室312,学校等,教室（大学）,27,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
3F,講義室313,学校等,教室（大学）,156,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,演習室314,学校等,教室（大学）,78,,有,EHW-1-3a,,,,
,,,,,,有,EHW-1-3b,,,,
,,,,,,有,EHW-2-3a,,,,
3F,メディアライブラリー,学校等,教室（大学）,335,,有,EHW-4-3a,,,,
,,,,,,有,EHW-4-3b,,,,
4F,演習室401,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室402,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室403,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室404,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室405,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室406,学校等,教室（大学）,24,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室407,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室408,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室409,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室410,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室411,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室412,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室413,学校等,教室（大学）,23,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
