様式 4-2. (給湯)給湯機器入力シート,,,,,,,,
,,,,,,,,
,,,,,,,,
①,②,③,④,⑤,太陽熱利用,,,⑦
,,,,,⑥,⑦,⑧,
給湯機器名称,定格加熱能力,定格熱源効率,配管保温仕様,接続口径,有効集熱面積,集熱面の方位角,集熱面の傾斜角,備考
,,,,,,,,
,[kW],[-],,[mm],[㎡],[°],[°],
,,,(選択),,,,,
,,,,,,,,
EHW-1-1a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-1b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-1c,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-2a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-2b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-3a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-3b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-4a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-4b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-5a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-5b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-6a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-6b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-7a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-7b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-8a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-8b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-9a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-9b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-10a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-10b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-11a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-11b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-12a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-12b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-13a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-13b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-14a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-14b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-15a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-15b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-16a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-16b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-17a,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-1-17b,2,0.4,保温仕様１,15,100,0,0,電気温水器（便所手洗い）
EHW-2-B1a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-2a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-3a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-4a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-5a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-5b,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-6a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-7a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-8a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-9a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-10a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-11a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-12a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-13a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-14a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-15a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-16a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-2-17a,2,0.4,保温仕様１,15,100,0,0,電気温水器（給湯室）
EHW-3-B1a,30,0.4,保温仕様１,20,100,0,0,電気湯沸器（警備員仮眠室US)
EHW-4-B1a,2,0.4,保温仕様１,15,100,0,0,電気温水器（B1F便所、特別研究スペース、留学生特別室、3FWC、国際交流ラウンジ）
EHW-4-B1b,2,0.4,保温仕様１,15,100,0,0,電気温水器（B1F便所、特別研究スペース、留学生特別室、3FWC、国際交流ラウンジ）
EHW-4-B1c,2,0.4,保温仕様１,15,100,0,0,電気温水器（B1F便所、特別研究スペース、留学生特別室、3FWC、国際交流ラウンジ）
EHW-4-2a,2,0.4,保温仕様１,15,100,0,0,電気温水器（B1F便所、特別研究スペース、留学生特別室、3FWC、国際交流ラウンジ）
