様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
B1F,中央監視盤室,学校等,事務室,37,5.8,3,B1F,中央監視盤室,PAC-B4a,PAC-B4a,
B1F,特別研究スペース,学校等,研究室,46,5.8,4,B1F,特別研究スペース,PAC-B3a,PAC-B3a,
B1F,警備用仮眠室,学校等,宿直室,15,5.8,3,B1F,警備用仮眠室,PAC-B5a,PAC-B5a,
B1F,清掃員控室,学校等,事務室,26,5.8,2.5,B1F,清掃員控室,PAC-B5a,PAC-B5a,
1F,国際会議場,学校等,講堂,216,6.15,5,1F,国際会議場,AHU-11,AHU-11,
1F,調整室,学校等,講堂,25,6.15,3,1F,調整室,PAC-1-2a,PAC-1-2a,
1F,準備室兼講師控室1,学校等,事務室,9,6.15,2.7,1F,準備室兼講師控室1,OHU-1,OHU-1,
1F,準備室兼講師控室2,学校等,事務室,5,6.15,2.7,1F,準備室兼講師控室2,OHU-1,OHU-1,
1F,受付,学校等,事務室,125,6.15,4.5,1F,受付,OHU-1,OHU-1,
1F,多目的室,学校等,教室（大学）,300,6.15,5.5,1F,多目的室,AHU-12,AHU-12,
1F,ラウンジ,学校等,事務室,60,6.15,4.5,1F,ラウンジ,AHU-14,AHU-14,
1F,エントランスホール,学校等,事務室,289.4,6.15,4.5,1F,エントランスホール,AHU-13,AHU-14,
1F,ラウンジ1,学校等,事務室,96,6.15,5,1F,ラウンジ1,AHU-13,AHU-14,
1F,中央管理室,学校等,事務室,30,6.15,2.7,1F,中央管理室,PAC-1-3a,PAC-1-3a,
1F,カフェマロニエ,学校等,食堂（大学）,52,6.15,4,1F,カフェマロニエ,PAC-1D1a-2a,PAC-1D1a-2a,
1F,カフェマロニエ　WC,学校等,トイレ,5,6.15,2.4,1F,カフェマロニエ　WC,PAC-1D1a-2a,PAC-1D1a-2a,
1F,カフェマロニエ　更衣兼倉庫,学校等,食堂（大学）,6,6.15,2.7,1F,カフェマロニエ　更衣兼倉庫,PAC-1D1a-2a,PAC-1D1a-2a,
2F,教員執務室,学校等,事務室,59,4.4,2.7,2F,教員執務室,OHU-2,OHU-2,
2F,国際連携役職室,学校等,事務室,50.4,4.4,2.7,2F,国際連携役職室,OHU-2,OHU-2,
2F,国際連携部事務室,学校等,事務室,165.3,4.4,2.7,2F,国際連携部事務室,OHU-2,OHU-2,
2F,会議室,学校等,事務室,18.9,4.4,2.7,2F,会議室,OHU-2,OHU-2,
2F,更衣室,学校等,事務室,18,4.4,2.7,2F,更衣室,OHU-2,OHU-2,
2F,留学生カウンセリング兼打合せスペース1,学校等,事務室,16.5,4.4,2.7,2F,留学生カウンセリング兼打合せスペース1,OHU-2,OHU-2,
2F,留学生カウンセリング兼打合せスペース2,学校等,事務室,16.5,4.4,2.7,2F,留学生カウンセリング兼打合せスペース2,OHU-2,OHU-2,
2F,講義室201,学校等,教室（大学）,141,4.4,2.7,2F,講義室201,OHU-2,OHU-2,
2F,留学生特別室,学校等,事務室,22,4.4,2.7,2F,留学生特別室,OHU-2,OHU-2,
2F,資料室,学校等,事務室,46,4.4,2.7,2F,資料室,OHU-2,OHU-2,
2F,留学生ラウンジ,学校等,教室（大学）,84,4.4,2.7,2F,留学生ラウンジ,OHU-2,OHU-2,
2F,ラウンジ2,学校等,教室（大学）,43.5,4.4,2.7,2F,ラウンジ2,OHU-2,OHU-2,
2F,非EVロビー兼用付室,学校等,教室（大学）,25,4.4,2.7,2F,非EVロビー兼用付室,ACP-EV1a,ACP-EV1a,
2F,EVホール,学校等,教室（大学）,40.6,4.4,2.7,2F,EVホール,ACP-2Cc,ACP-2Cc,
3F,演習室301,学校等,教室（大学）,25,4.4,2.7,3F,演習室301,OHU-3,OHU-3,
3F,演習室302,学校等,教室（大学）,25,4.4,2.7,3F,演習室302,OHU-3,OHU-3,
3F,演習室303,学校等,教室（大学）,25,4.4,2.7,3F,演習室303,OHU-3,OHU-3,
3F,演習室304,学校等,教室（大学）,75,4.4,2.7,3F,演習室304,OHU-3,OHU-3,
3F,演習室305,学校等,教室（大学）,25,4.4,2.7,3F,演習室305,OHU-3,OHU-3,
3F,演習室306,学校等,教室（大学）,25,4.4,2.7,3F,演習室306,OHU-3,OHU-3,
3F,演習室307,学校等,教室（大学）,25,4.4,2.7,3F,演習室307,OHU-3,OHU-3,
3F,演習室308,学校等,教室（大学）,25,4.4,2.7,3F,演習室308,OHU-3,OHU-3,
3F,演習室309,学校等,教室（大学）,25,4.4,2.7,3F,演習室309,OHU-3,OHU-3,
3F,演習室310,学校等,教室（大学）,49,4.4,2.7,3F,演習室310,OHU-3,OHU-3,
3F,演習室311,学校等,教室（大学）,27,4.4,2.7,3F,演習室311,OHU-3,OHU-3,
3F,演習室312,学校等,教室（大学）,27,4.4,2.7,3F,演習室312,OHU-3,OHU-3,
3F,講義室313,学校等,教室（大学）,156,4.4,2.7,3F,講義室313,OHU-3,OHU-3,
3F,演習室314,学校等,教室（大学）,78,4.4,2.7,3F,演習室314,OHU-3,OHU-3,
3F,非EVロビー兼用付室,学校等,教室（大学）,25,4.4,2.7,3F,非EVロビー兼用付室,ACP-EV1a,ACP-EV1a,
3F,ラウンジ3,学校等,教室（大学）,40.6,4.4,2.7,3F,ラウンジ3,OHU-3,OHU-3,
3F,メディアライブラリー,学校等,教室（大学）,335,4.4,2.7,3F,メディアライブラリー,AHU-3,AHU-3,
4F,演習室401,学校等,教室（大学）,25,4.4,2.7,4F,演習室401,OHU-4,OHU-4,
4F,演習室402,学校等,教室（大学）,25,4.4,2.7,4F,演習室402,OHU-4,OHU-4,
4F,演習室403,学校等,教室（大学）,25,4.4,2.7,4F,演習室403,OHU-4,OHU-4,
