様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
ＯＷ1,外壁,,,室内側,,
,,,62,ＧＢ,12,
,,,302,非密閉空気層,65,
,,,181,FP板(押出）,50,
,,,41,ＲＣ,150,
,,,41,ＲＣ,20,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OＲ1,外壁,,,室内側,,
,,,70,ＲＢ,15,
,,,302,非密閉空気層,900,
,,,41,ＲＣ,150,
,,,103,アスファルト,10,
,,,181,FP板(押出）,100,
,,,41,ＲＣ,80,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SBW1,接地壁,,,室内側,,
,,,62,ＰＢ,12,
,,,46,コンクリートブロック(軽量）,100,
,,,302,非密閉空気層,100,
,,,41,ＲＣ,300,
,,,22,土壌(ローム質）,999,
