様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
ＯＷ1,外壁,,,室内側,,
,,,32,ＧＢ,12,
,,,92,非密閉空気層,65,
,,,82,FP板(押出）,25,
,,,22,ＲＣ,150,
,,,22,ＲＣ,20,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OＲ1,外壁,,,室内側,,
,,,75,ＲＢ,15,
,,,92,非密閉空気層,900,
,,,22,ＲＣ,150,
,,,43,アスファルト,10,
,,,82,FP板(押出）,50,
,,,22,ＲＣ,80,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SBW1,接地壁,,,室内側,,
,,,32,ＰＢ,12,
,,,26,コンクリートブロック(軽量）,100,
,,,92,非密閉空気層,100,
,,,22,ＲＣ,300,
,,,15,土壌(ローム質）,999,
,,,,,,
