様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,中央監視盤室,地中,,,SBW1,37,,,
,,日陰,,,ＯＷ1,42,,,
B1F,特別研究スペース,地中,,,SBW1,46,,,
,,日陰,,,ＯＷ1,26,,,
B1F,警備用仮眠室,地中,,,SBW1,15,,,
,,日陰,,,ＯＷ1,9,,,
B1F,清掃員控室,地中,,,SBW1,26,,,
,,地中,,,ＯＷ1,25,,,
1F,国際会議場,日陰,,,ＯＷ1,216,,,
1F,調整室,日陰,,,ＯＷ1,25,,,
1F,準備室兼講師控室1,東,,,ＯＷ1,44.9,,,
1F,準備室兼講師控室2,,,,,,,,
1F,受付,日陰,,,ＯＷ1,44.9,WNDW1,21.9,
1F,多目的室,東,,,ＯＷ1,119.9,,,
,,地中,,,SBW1,300,,,
1F,ラウンジ,東,,,ＯＷ1,25.8,,,
,,日陰,,,ＯＷ1,63.9,WNDW1,42.6,
,,地中,,,SBW1,60,,,
1F,エントランスホール,日陰,,,ＯＷ1,75.6,WNDW1,36.9,
1F,ラウンジ1,北,,,ＯＷ1,70.1,WNDW1,34.2,
1F,中央管理室,日陰,,,ＯＷ1,72,,,
,,地中,,,SBW1,30,,,
1F,カフェマロニエ,日陰,,,ＯＷ1,123,WNDW1,54,有
,,地中,,,SBW1,52,,,
1F,カフェマロニエ　WC,日陰,,,ＯＷ1,30.8,,,
,,地中,,,SBW1,5,,,
1F,カフェマロニエ　更衣兼倉庫,日陰,,,ＯＷ1,27.7,,,
,,地中,,,SBW1,6,,,
2F,教員執務室,北,,,ＯＷ1,26.4,,,
,,西,,,ＯＷ1,35.2,WNDW1,21.6,有
,,南,,,ＯＷ1,30.8,WNDW1,18.9,有
,,水平,,,OＲ1,59,,,
2F,国際連携役職室,西,,,ＯＷ1,25.1,WNDW1,15.4,有
2F,国際連携部事務室,,,,,,,,
2F,会議室,,,,,,,,
2F,更衣室,西,,,ＯＷ1,16.3,WNDW1,10,有
2F,留学生カウンセリング兼打合せスペース1,日陰,,,ＯＷ1,17.6,WNDW1,10.8,有
2F,留学生カウンセリング兼打合せスペース2,日陰,,,ＯＷ1,36.1,WNDW1,22.1,有
2F,講義室201,北,,,ＯＷ1,50.6,WNDW1,10.3,有
,,東,,,ＯＷ1,55.9,,,
2F,留学生特別室,東,,,ＯＷ1,25.1,,,
