様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱有無,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
HR1,無,有,,,空冷式スクリューヒートポンプ,1番目,1,7,475,123,9,7.5,,,,1番目,1,42,225,61.5,4.5,3.75,HR-6-1
HR1,無,有,,,空冷式スクリューヒートポンプ,2番目,1,7,475,123,9,7.5,,,,2番目,1,42,225,61.5,4.5,3.75,HR-6-2
HR1,無,有,,,空冷式スクリューヒートポンプ,3番目,1,7,665,172.2,12.6,10.5,,,,3番目,1,42,315,86.1,6.3,5.25,HR-6-3
ACP-EV1,無,無,,,電気式ビル用マルチ,1番目,1,7,14,3.82,0.42,,,,,1番目,1,42,14,3.82,0.42,,ACP-EV1
ACP-EV2,無,無,,,電気式ビル用マルチ,1番目,1,7,14,3.82,0.42,,,,,1番目,1,42,14,3.82,0.42,,ACP-EV2
ACP-EV3,無,無,,,電気式ビル用マルチ,1番目,1,7,14,3.82,0.42,,,,,1番目,1,42,14,3.82,0.42,,ACP-EV3
ACP-EV4,無,無,,,電気式ビル用マルチ,1番目,1,7,16,4.43,0.42,,,,,1番目,1,42,16,4.43,0.42,,ACP-EV4
ACP-EV5,無,無,,,電気式ビル用マルチ,1番目,1,7,16,4.43,0.42,,,,,1番目,1,42,16,4.43,0.42,,ACP-EV5
ACP-EV6,無,無,,,電気式ビル用マルチ,1番目,1,7,28,7.58,0.9,,,,,1番目,1,42,28,7.58,0.9,,ACP-EV6
PAC-B3,無,無,,,電気式ビル用マルチ,1番目,1,7,10,2.79,0.24,,,,,1番目,1,42,10,2.79,0.24,,PAC-B1-3
PAC-B4,無,無,,,電気式ビル用マルチ,1番目,1,7,7.1,1.31,0.84,,,,,1番目,1,42,7.1,1.31,0.84,,PAC-B1-4
PAC-B5,無,無,,,電気式ビル用マルチ,1番目,1,7,14,2.56,1.68,,,,,1番目,1,42,14,2.56,1.68,,PAC-B1-5
PAC-1-2,無,無,,,電気式ビル用マルチ,1番目,1,7,14,4.07,0.17,,,,,1番目,1,42,14,4.07,0.17,,PAC-1-2
PAC-1-3,無,無,,,電気式ビル用マルチ,1番目,1,7,5.6,1.62,0.07,,,,,1番目,1,42,5.6,1.62,0.07,,PAC-1-3
PAC-1D1,無,無,,,電気式ビル用マルチ,1番目,1,7,12.5,3.62,0.17,,,,,1番目,1,42,12.5,3.62,0.17,,PAC-1-D-1
PAC-1D2,無,無,,,電気式ビル用マルチ,1番目,1,7,14,4.07,0.17,,,,,1番目,1,42,14,4.07,0.17,,PAC-1-D-2
ACP-D1,無,無,,,電気式ビル用マルチ,1番目,1,7,69,19.17,1.74,,,,,1番目,1,42,69,19.17,1.74,,ACP-D1
ACP-D2,無,無,,,電気式ビル用マルチ,1番目,1,7,61.5,16.9,1.74,,,,,1番目,1,42,61.5,16.9,1.74,,ACP-D2
ACP-D3,無,無,,,電気式ビル用マルチ,1番目,1,7,80,21.54,2.7,,,,,1番目,1,42,80,21.54,2.7,,ACP-D3
ACP-D4,無,無,,,電気式ビル用マルチ,1番目,1,7,73,19.42,2.7,,,,,1番目,1,42,73,19.42,2.7,,ACP-D4
ACP-D5,無,無,,,電気式ビル用マルチ,1番目,1,7,56,15.17,1.8,,,,,1番目,1,42,56,15.17,1.8,,ACP-D5
ACP-17A,無,無,,,電気式ビル用マルチ,1番目,1,7,50,13.35,1.8,,,,,1番目,1,42,50,13.35,1.8,,ACP-17-A
,,,,,,,,,,,,,,,,,,,,,,,
