様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AHU-11,1,空調機,98.1,52,11100,5.5,3.7,,,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,AHU-1-M-1
OHU-1,1,空調機,35.6,27,3800,1.5,,,,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-1-M-1
AHU-12,1,空調機,134,81,9200,3.7,2.2,,,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,AHU-1-M-2
AHU-14,1,空調機,53,41,6700,3.7,,,0.05,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,AHU-1-T-2
AHU-13,1,空調機,31,18,6900,3.7,,,,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,AHU-1-M-3
OHU-2,1,空調機,100,75,10950,7.5,,,1.21,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-2-M-1
OHU-3,1,空調機,132,98,10400,7.5,,,1.45,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-3-M-1
AHU-3,1,空調機,123,132,20300,15,,0.07,,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,AHU-3-D-1
OHU-4,1,空調機,105,78,9450,5.5,,,1.12,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-4-M-1
OHU-5,1,空調機,68.9,51.3,7750,3.7,,,0.62,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-5-M-1
OHU-6,1,空調機,63,47,5950,3.7,,,0.41,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-6-M-1
OHU-7,1,空調機,870,647,61200,30,,,8.22,定風量制御,,有,有,無,,,,,PMCH1,PMCH2,HR1,HR1,OHU-PH-M-1
ACP-EV1a,3,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV1,ACP-EV1,ACP-EV1-2～4a
ACP-EV2a,2,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV2,ACP-EV2,ACP-EV2-5-6a
ACP-EV3a,2,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV3,ACP-EV3,ACP-EV3-7-8a
ACP-EV4a,3,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV4,ACP-EV4,ACP-EV4-9～11a
ACP-EV5a,3,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV5,ACP-EV5,ACP-EV5-12～14a
ACP-EV6a,3,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV6,ACP-EV6,ACP-EV6-15～17a
ACP-EV6b,1,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV6,ACP-EV6,ACP-EV6-17b
ACP-EV6c,1,室内機,4.5,5,780,0.15,,,,定風量制御,,無,無,無,,,,,,,ACP-EV6,ACP-EV6,ACP-EV6-17c
PAC-B3a,2,室内機,5,5.6,810,0.12,,,,定風量制御,,無,無,無,,,,,,,PAC-B3,PAC-B3,PAC-B1-3a-b
PAC-B3a,1,全熱交ユニット,,,400,0.5,,0.07,,定風量制御,,無,無,有,400,70,有,,,,,,HEX-B1-2
PAC-B4a,2,室内機,3.6,4,780,0.12,,,,定風量制御,,無,無,無,,,,,,,PAC-B4,PAC-B4,PAC-B1-4a-b
PAC-B4a,1,全熱交ユニット,,,200,0.5,,0.07,,定風量制御,,無,無,有,200,70,有,,,,,,HEX-B1-1
PAC-B5a,3,室内機,4.6,5.3,780,0.18,,0.07,,定風量制御,,無,無,無,,,,,,,PAC-B5,PAC-B5,PAC-B1-5a～c
PAC-1-2a,2,室内機,7,8,900,0.12,,,0.15,定風量制御,,無,無,無,,,,,,,PAC-1-2,PAC-1-2,PAC-1-2a-b
PAC-1-3a,1,室内機,5.6,6.3,900,0.06,,,,定風量制御,,無,無,無,,,,,,,PAC-1-3,PAC-1-3,PAC-1-3a
PAC-1-3a,1,全熱交ユニット,,,300,,,0.5,,定風量制御,,無,無,有,300,70,有,,,,,,HEX-1-1
PAC-1D1a-2a,1,室内機,12.5,14,1920,0.13,,,,定風量制御,,無,無,無,,,,,,,PAC-1D1,PAC-1D1,PAC-1-D-1a
PAC-1D1a-2a,1,室内機,14,16,1980,0.35,,0.07,0.07,定風量制御,,無,無,無,,,,,,,PAC-1D2,PAC-1D2,PAC-1-D-2a
ACP-D1a,2,室内機,9,10,1140,0.1,,,0.06,定風量制御,,無,無,無,,,,,,,ACP-D1,ACP-D1,ACP-D1-5-6a
ACP-D2a,1,室内機,9,10,1140,0.1,,,0.05,定風量制御,,無,無,無,,,,,,,ACP-D2,ACP-D2,ACP-D2-7a
ACP-D2b,1,室内機,11.2,12.5,1560,0.19,,,0.07,定風量制御,,無,無,無,,,,,,,ACP-D2,ACP-D2,ACP-D2-8a
ACP-D3a,3,室内機,11.2,12.5,1560,0.19,,,0.06,定風量制御,,無,無,無,,,,,,,ACP-D3,ACP-D3,ACP-D3-9～11a
ACP-D4a,3,室内機,11.2,12.5,1560,0.19,,,0.06,定風量制御,,無,無,無,,,,,,,ACP-D4,ACP-D4,ACP-D4-12～14a
ACP-D5a,2,室内機,11.2,12.5,1560,0.19,,,0.06,定風量制御,,無,無,無,,,,,,,ACP-D5,ACP-D5,ACP-D5-15-16a
ACP-D5a,2,室内機,11.2,12.5,1620,0.21,,,,定風量制御,,無,無,無,,,,,,,ACP-D5,ACP-D5,ACP-D5-15-16b
ACP-17Ab,1,室内機,9,10,1140,0.1,,,0.1,定風量制御,,無,無,無,,,,,,,ACP-17A,ACP-17A,ACP-17-A-2a
,,,,,,,,,,,,,,,,,,,,,,,
