様式 4-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,,無,EH3-B1F
,,,,,,無,EH4-B1F
B1F,清掃員控室,事務所等,更衣室,22.4,,無,EH3-B1F
,,,,,,無,EH4-B1F
1F,1F事務室,事務所等,事務室,605.2,,無,EH1-1F
,,,,,,無,EH2-1F
,,,,,,無,EH3-1F
1F,警備員室,事務所等,中央監視室,17.8,,無,EH1-1F
,,,,,,無,EH2-1F
,,,,,,無,EH3-1F
2F,2F会議室,事務所等,会議室,623,,無,EH1-2F
,,,,,,無,EH2-2F
,,,,,,無,EH3-2F
3F,3F事務室,事務所等,事務室,623,,無,EH1-3F
,,,,,,無,EH2-3F
,,,,,,無,EH3-3F
4F,4F事務室,事務所等,事務室,623,,無,EH1-4F
,,,,,,無,EH2-4F
,,,,,,無,EH3-4F
5F,5F事務室,事務所等,事務室,623,,無,EH1-5F
,,,,,,無,EH2-5F
,,,,,,無,EH3-5F
6F,6F事務室,事務所等,事務室,623,,無,EH1-6F
,,,,,,無,EH2-6F
,,,,,,無,EH3-6F
7F,7F事務室,事務所等,事務室,623,,無,EH1-7F
,,,,,,無,EH2-7F
,,,,,,無,EH3-7F
8F,8F事務室,事務所等,事務室,495.1,,無,EH1-8F
,,,,,,無,EH2-8F
,,,,,,無,EH3-8F
8F,セミナールーム,事務所等,会議室,127.9,,無,EH1-8F
,,,,,,無,EH2-8F
,,,,,,無,EH3-8F
9F,9F食堂,事務所等,社員食堂,520.4,,無,EH5-9F
,,,,,,無,EH1-9F
,,,,,,無,EH2-9F
,,,,,,無,EH3-9F
