様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1F,納戸,飲食店等,食品庫等,6.62,3.25,2.7,,,,■,
1F,ホール,飲食店等,ロビー,9.1091,3.25,2.7,,,,■,
1F,便所,飲食店等,便所,2.4843,3.25,2.7,,■,,■,
1F,従業員室,飲食店等,事務室,4.14,3.25,2.7,■,,,■,
1F,厨房,飲食店等,厨房,13.24,3.25,2.7,,■,,■,
1F,便所（女）,飲食店等,便所,3.3124,3.25,2.7,,■,,■,
1F,便所（男）,飲食店等,便所,3.3124,3.25,2.7,,■,,■,
1F,客室スペース,飲食店等,喫茶店客室,43.06,3.25,2.7,■,,■,■,
1F,収納,飲食店等,食品庫等,1.8,3.25,2.7,,,,■,
1F,廊下,飲食店等,廊下,1.6562,3.25,2.7,,,,■,
1F,階段室,飲食店等,廊下,3.3124,3.25,2.7,,,,■,
,,,,,,,,,,,
