様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
1F,インフォメーションロビー,病院等,診察室,156.6,4.3,6.8,■,,,,
1F,医事事務室,病院等,事務室,138.2,4.3,2.5,■,,,,
1F,ギャラリーモール,病院等,廊下,78.4,4.3,2.5,■,,,,
1F,一般撮影・X線室,病院等,検査室,34.8,4.3,2.5,■,,,,
1F,MRI,病院等,検査室,38.3,4.3,2.5,■,,,,
1F,CT室,病院等,検査室,28.2,4.3,2.5,■,,,,
1F,エコー室,病院等,検査室,10.4,4.3,2.5,■,,,,
1F,心電図・脳波測定室,病院等,検査室,10.3,4.3,2.5,■,,,,
1F,診察待会ホール・検査・薬局待合,病院等,診察室,251.1,4.3,2.5,■,,,,
1F,第１診察室,病院等,診察室,16.9,4.3,2.5,■,,,,
1F,第２診察室,病院等,診察室,16.9,4.3,2.5,■,,,,
1F,第３診察室,病院等,診察室,16.9,4.3,2.5,■,,,,
1F,処置室,病院等,診察室,49.3,4.3,2.5,■,,,,
1F,手術室,病院等,手術室,13.8,4.3,2.5,■,,,,
1F,内視鏡室,病院等,検査室,19.1,4.3,2.5,■,,,,
1F,薬局,病院等,レストラン,79.3,4.3,2.5,■,,,,
1F,薬品庫,病院等,レストラン,18,4.3,2.5,■,,,,
1F,D1,病院等,レストラン,16.5,4.3,2.5,■,,,,
1F,メディカルモール・EVホール,病院等,廊下,346.1,4.3,2.7,■,,,,
1F,CP室,病院等,検査室,15.6,4.3,2.5,■,,,,
1F,捜査室1,病院等,検査室,23.4,4.3,2.5,■,,,,
1F,捜査室2,病院等,検査室,22,4.3,2.5,■,,,,
1F,カフェテリア,病院等,レストラン,69.3,4.3,2.5,■,,,,
1F,厨房事務室,病院等,事務室,36.9,4.3,2.5,■,,,,
1F,更衣室,病院等,事務室,14.4,4.3,2.5,■,,,,
1F,休息室,病院等,事務室,11.4,4.3,2.5,■,,,,
1F,食品庫1,病院等,病室部廊下,9.9,4.3,2.5,■,,,,
1F,検収室,病院等,事務室,37,4.3,2.5,■,,,,
1F,ゴミ置場,病院等,病室部廊下,41.3,4.3,2.5,■,,,,
1F,コンビニエンス,病院等,レストラン,84.9,4.3,2.5,■,,,,
1F,ケアショップ,病院等,レストラン,52.4,4.3,2.5,■,,,,
1F,理髪室,病院等,レストラン,12,4.3,2.5,■,,,,
1F,サプライセンター,病院等,レストラン,47,4.3,2.5,■,,,,
