様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1F,インフォメーションロビー,北,,,OW1,146.8,WNDW3,145.8,有
,,西,,,OW1,73.9,WNDW3,72.9,有
,,日陰,,,SBW1,156.6,,,
,,水平,,,OR2,156.6,,,
1F,医事事務室,西,,,OW1,64.5,WNDW3,10.24,有
,,日陰,,,SBW1,138.2,,,
1F,ギャラリーモール,日陰,,,SBW1,78.4,,,
1F,一般撮影・X線室,日陰,,,SBW1,34.8,,,
1F,MRI,日陰,,,SBW1,38.3,,,
1F,CT室,日陰,,,SBW1,28.2,,,
1F,エコー室,日陰,,,SBW1,10.4,,,
1F,心電図・脳波測定室,日陰,,,SBW1,10.3,,,
1F,診察待会ホール・検査・薬局待合,北,,,OW1,34.4,WNDW3,17,有
,,日陰,,,SBW1,251.1,,,
1F,第１診察室,北,,,OW1,19.35,,,
,,東,,,OW1,16.125,WNDW3,4.8,有
,,日陰,,,SBW1,16.9,,,
1F,第２診察室,東,,,OW1,16.125,WNDW3,4.8,有
,,日陰,,,SBW1,16.9,,,
1F,第３診察室,東,,,OW1,16.125,WNDW3,4.8,有
,,日陰,,,SBW1,16.9,,,
1F,処置室,東,,,OW1,16.125,WNDW3,4.8,有
,,日陰,,,SBW1,49.3,,,
1F,手術室,東,,,OW1,32.25,WNDW3,1.6,有
,,北,,,OW1,15.05,,,
,,日陰,,,SBW1,13.8,,,
1F,内視鏡室,東,,,OW1,12.9,,,
,,日陰,,,SBW1,19.1,,,
1F,薬局,北,,,OW1,34.4,WNDW3,9.6,有
,,日陰,,,SBW1,79.3,,,
1F,薬品庫,日陰,,,SBW1,18,,,
1F,D1,日陰,,,SBW1,16.5,,,
1F,メディカルモール・EVホール,西,,,OW1,32.25,WNDW3,15,有
,,日陰,,,SBW1,346.1,,,
1F,CP室,日陰,,,SBW1,15.6,,,
1F,捜査室1,日陰,,,SBW1,23.4,,,
1F,捜査室2,日陰,,,SBW1,22,,,
1F,カフェテリア,東,,,OW1,32.25,WNDW3,10,有
,,日陰,,,SBW1,69.3,,,
1F,厨房事務室,南,,,OW1,51.6,WNDW3,6.4,有
,,東,,,OW1,10.75,,,
,,日陰,,,SBW1,36.9,,,
1F,更衣室,東,,,OW1,25.8,,,
,,日陰,,,SBW1,14.4,,,
1F,休息室,東,,,OW1,19.35,WNDW3,3.2,有
