様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1F,インフォメーションロビー,北,,,OW1,46.98,WNDW1,14.094,無
1F,医事事務室,北,,,OW1,41.46,WNDW1,12.438,無
1F,ギャラリーモール,北,,,OW1,23.52,WNDW1,7.056,無
1F,一般撮影・X線室,北,,,OW1,10.44,WNDW1,3.132,無
1F,MRI,北,,,OW1,11.49,WNDW1,3.447,無
1F,CT室,北,,,OW1,8.46,WNDW1,2.538,無
1F,エコー室,北,,,OW1,3.12,WNDW1,0.936,無
1F,心電図・脳波測定室,北,,,OW1,3.09,WNDW1,0.927,無
1F,診察待会ホール・検査・薬局待合,北,,,OW1,75.33,WNDW1,22.599,無
1F,第１診察室,北,,,OW1,5.07,WNDW1,1.521,無
1F,第２診察室,北,,,OW1,5.07,WNDW1,1.521,無
1F,第３診察室,北,,,OW1,5.07,WNDW1,1.521,無
1F,処置室,北,,,OW1,14.79,WNDW1,4.437,無
1F,手術室,北,,,OW1,4.14,WNDW1,1.242,無
1F,内視鏡室,北,,,OW1,5.73,WNDW1,1.719,無
1F,薬局,北,,,OW1,23.79,WNDW1,7.137,無
1F,薬品庫,北,,,OW1,5.4,WNDW1,1.62,無
1F,D1,北,,,OW1,4.95,WNDW1,1.485,無
1F,メディカルモール・EVホール,北,,,OW1,103.83,WNDW1,31.149,無
1F,CP室,北,,,OW1,4.68,WNDW1,1.404,無
1F,捜査室1,北,,,OW1,7.02,WNDW1,2.106,無
1F,捜査室2,北,,,OW1,6.6,WNDW1,1.98,無
1F,カフェテリア,北,,,OW1,20.79,WNDW1,6.237,無
1F,厨房事務室,北,,,OW1,11.07,WNDW1,3.321,無
1F,更衣室,北,,,OW1,4.32,WNDW1,1.296,無
1F,休息室,北,,,OW1,3.42,WNDW1,1.026,無
1F,食品庫1,北,,,OW1,2.97,WNDW1,0.891,無
1F,検収室,北,,,OW1,11.1,WNDW1,3.33,無
1F,ゴミ置場,北,,,OW1,12.39,WNDW1,3.717,無
1F,コンビニエンス,北,,,OW1,25.47,WNDW1,7.641,無
1F,ケアショップ,北,,,OW1,15.72,WNDW1,4.716,無
1F,理髪室,北,,,OW1,3.6,WNDW1,1.08,無
1F,サプライセンター,北,,,OW1,14.1,WNDW1,4.23,無
1F,ランドリー,北,,,OW1,8.52,WNDW1,2.556,無
