様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
1FCAV,1,空調機,142.7278,142.7278,25703.36,35.68195,,,,定風量制御,,有,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
1FVAV,1,空調機,56.178,56.178,10112.04,14.0445,,,,回転数制御,60,有,有,有,2022.408,60,無,0.1,CHP21,CHP21,CENT1,CENT1,
2FCAV,1,空調機,48.138,48.138,8669.10000000001,12.0345,,,,定風量制御,,有,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
2FVAV,1,空調機,63.118,63.118,11361.24,15.7795,,,,回転数制御,60,有,有,有,2272.248,60,無,0.1,CHP21,CHP21,CENT1,CENT1,
3FCAV,1,空調機,48.138,48.138,8669.10000000001,12.0345,,,,定風量制御,,有,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
3FVAV,1,空調機,9.27,9.27,1668.6,2.3175,,,,回転数制御,60,有,有,有,333.72,60,無,0.1,CHP21,CHP21,CENT1,CENT1,
4FCAV,1,空調機,48.138,48.138,8669.10000000001,12.0345,,,,定風量制御,,有,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
4FVAV,1,空調機,9.27,9.27,1668.6,2.3175,,,,回転数制御,60,有,有,有,333.72,60,無,0.1,CHP21,CHP21,CENT1,CENT1,
5FCAV,1,空調機,27.12,27.12,4884,6.78,,,,定風量制御,,有,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
5FVAV,1,空調機,38.808,38.808,6985.44,9.702,,,,回転数制御,60,有,有,有,1397.088,60,無,0.1,CHP21,CHP21,CENT1,CENT1,
FCU-1,1,FCU,118.392,118.392,21310.56,6.96423529411765,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
FCU-2,1,FCU,122.688666666667,122.688666666667,22083.96,7.21698039215686,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
FCU-3,1,FCU,83.4993333333334,83.4993333333334,15029.88,4.91172549019608,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
FCU-4,1,FCU,83.4993333333334,83.4993333333334,15029.88,4.91172549019608,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
FCU-5,1,FCU,1.06666666666667,1.06666666666667,192,0.06,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
G-1,1,空調機,236.784,236.784,42621.12,13.9284705882353,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
G-2,1,空調機,245.377333333333,245.377333333333,44167.92,14.4339607843137,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
G-3,1,空調機,166.998666666667,166.998666666667,30059.76,9.82345098039216,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
G-4,1,空調機,166.998666666667,166.998666666667,30059.76,9.82345098039216,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
G-5,1,空調機,2.13333333333333,2.13333333333333,384,0.125490196078431,,,,定風量制御,,無,無,無,,,,,CHP21,CHP21,CENT1,CENT1,
,,,,,,,,,,,,,,,,,,,,,,,
