様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
B1F,C階段,ホテル等,客室部廊下,44.41476,5,3.5,,,,■,
B1F,ホール,ホテル等,客室部ロビー,56.50892,5,3.5,■,,,■,
B1F,和食堂,ホテル等,レストラン,151.02,5,3.5,■,,■,■,面積修正（関根）
B1F,男性用トイレ,ホテル等,客室部便所,8.18441,5,3.5,,,,■,
B1F,女性用トイレ,ホテル等,客室部便所,13.366132,5,3.5,,,,■,
B1F,トイレ,ホテル等,客室部便所,6.234748,5,3.5,,,,■,
B1F,ストックルーム,ホテル等,食品庫等,8.554533,5,3.5,,,,,
B1F,厨房（和食堂）,ホテル等,厨房,69.64568,5,3.5,,■,,■,
B1F,廊下B,ホテル等,客室部廊下,16.47308,5,3.5,,,,■,
B1F,D避難階段,ホテル等,客室部廊下,5.52578,5,3.5,,,,■,
B1F,機械室・受水槽室,ホテル等,機械室,188.08504,5,3.5,,,,■,
B1F,廊下A,ホテル等,客室部廊下,10.53026,5,3.5,,,,■,
B1F,PS,ホテル等,機械室,3.23206,5,3.5,,,,,
B1F,CH,ホテル等,機械室,2.71076,5,3.5,,,,,
B1F,PS,ホテル等,機械室,2.50224,5,3.5,,,,,
B1F,非常用EV乗降ロビー,ホテル等,客室部ロビー,16.6816,5,3.5,,,,■,
B1F,冷凍・冷蔵庫室,ホテル等,食品庫等,19.18384,5,3.5,,,,,
B1F,管理室,ホテル等,客室部事務室,9.48766,5,3.5,■,,,■,
B1F,ポンプ室,ホテル等,機械室,20.852,5,3.5,,,,■,
B1F,アラーム弁室,ホテル等,機械室,1.35538,5,3.5,,,,,
B1F,ハロンボンベ室,ホテル等,機械室,7.2982,5,3.5,,,,■,
1F,風除室1,ホテル等,客室部ロビー,18.7668,4.2,2.7,,,,■,
1F,ホール,ホテル等,客室部ロビー,95.564716,4.2,2.7,■,,,■,
1F,TELコーナー,ホテル等,客室部ロビー,12.5112,4.2,2.7,■,,,■,
1F,A避難階段,ホテル等,客室部廊下,10.9473,4.2,2.7,,,,■,
1F,E内部階段,ホテル等,客室部廊下,4.27466,4.2,2.7,,,,■,
1F,D避難階段,ホテル等,客室部廊下,5.129592,4.2,2.7,,,,,
1F,コーヒーテラス,ホテル等,レストラン,94.30317,4.2,2.7,■,,■,■,
1F,厨房（コーヒーテラス）,ホテル等,厨房,23.395944,4.2,2.7,,■,,■,
