様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
B1F,ホール,ホテル等,ロビー（終日）,56.50892,5,3.5,B1F,ホール,FCU11_b,FCU11_b,
B1F,和食堂,ホテル等,レストラン,151.02,5,3.5,B1F,和食堂,ACWAa,ACWAa,
B1F,管理室,ホテル等,事務室（終日）,9.48766,5,3.5,B1F,管理室,RAC1a,RAC1a,
1F,ホール,ホテル等,ロビー（終日）,95.564716,4.2,2.7,1F,ホール,FCU22,FCU22,
1F,TELコーナー,ホテル等,ロビー（終日）,12.5112,4.2,2.7,,,,,統合
1F,コーヒーテラス,ホテル等,レストラン,94.30317,4.2,2.7,1F,コーヒーテラス,AC12a,AC12a,
1F,ナイトラウンジ,ホテル等,ラウンジ（夜）,99.35978,4.2,2.7,1F,ナイトラウンジ,AC89a,AC89a,
1F,防災センター,ホテル等,事務室（終日）,28.588092,4.2,2.7,1F,防災センター,PAC1a,PAC1a,
2F,ロビー,ホテル等,ロビー（終日）,110.025578,4.2,2.7,2F,ロビー,FCU11_1,AHU1,
2F,ラウンジ,ホテル等,ラウンジ（終日）,85.461922,4.2,2.7,2F,ラウンジ,AC33a,AHU1,
2F,レストラン,ホテル等,レストラン,114.586953,4.2,2.7,2F,レストラン,ACRESTa,AHU1,
2F,バックオフィス,ホテル等,事務室（終日）,44.664984,4.2,2.7,2F,バックオフィス,PAC44a,PAC44a,
2F,仮眠室,ホテル等,事務室（終日）,6.474546,4.2,2.7,,,,,統合
2F,OA機器室,ホテル等,電気・機械室（標準）,52.75556,4.2,2.7,,,,,統合
3F,ロビー・ホワイエ,ホテル等,ロビー（終日）,67.581332,4.15,2.65,3F,ロビー・ホワイエ,AHU1,AHU1,
3F,クローク,ホテル等,ロビー（終日）,6.954142,4.15,2.65,3F,クローク,AHU1,AHU1,
3F,ミーティングルームA,事務所等,事務室等,124.0694,4.15,2.65,3F,ミーティングルームA,AC33a,AC33a,
3F,ミーティングルームB,事務所等,事務室等,38.127882,4.15,2.65,3F,ミーティングルームB,AC5a,AC5a,
3F,廊下A,ホテル等,廊下（昼）,29.71,4.15,2.65,3F,廊下A,AHU1,AHU1,
3F,事務室A,ホテル等,事務室（昼）,15.22196,4.15,2.65,3F,事務室A,PAC2a,PAC2a,
3F,事務室B,ホテル等,事務室（終日）,24.490674,4.15,2.65,3F,事務室B,PAC22a,PAC22a,
3F,従業員休憩室,ホテル等,事務室（終日）,22.895496,4.15,2.65,3F,従業員休憩室,PAC6a,PAC6a,
3F,仮眠室,ホテル等,事務室（終日）,7.50672,4.15,2.65,3F,仮眠室,AHU1,AHU1,
3F,パントリー,ホテル等,更衣室,24.219598,4.15,2.65,3F,パントリー,AHU1,AHU1,
3F,男子ロッカー室,ホテル等,更衣室,21.018816,4.15,2.65,3F,男子ロッカー室,PAC5a,PAC6a,
3F,女子ロッカー室,ホテル等,更衣室,11.093264,4.15,2.65,3F,女子ロッカー室,PAC6a,PAC6a,
3F,メイド員・控室・休憩室,ホテル等,事務室（終日）,29.1928,4.15,2.65,3F,メイド員・控室・休憩室,PAC5a,PAC5a,
4F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室1S,FCU4,AHU2,
4F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室2S,FCU4,AHU2,
4F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室3S,FCU4,AHU2,
4F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室4S,FCU4,AHU2,
4F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室5S,FCU4,AHU2,
4F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室6S,FCU4,AHU2,
4F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室7S,FCU4,AHU2,
4F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室8S,FCU4,AHU2,
4F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,4F,客室9TW,FCU4,AHU2,
4F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室10S,FCU4,AHU2,
4F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室11S,FCU4,AHU2,
4F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室12S,FCU4,AHU2,
4F,客室13S,ホテル等,客室,16.6690888,2.95,2.4,4F,客室13S,FCU4,AHU2,
4F,EVホール,ホテル等,ロビー（終日）,22.249084,2.95,2.4,4F,EVホール,FCU5,AHU2,
5F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室1S,FCU4,AHU2,
5F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室2S,FCU4,AHU2,
5F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室3S,FCU4,AHU2,
5F,客室4S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室4S,FCU4,AHU2,
5F,客室5S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室5S,FCU4,AHU2,
5F,客室6S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室6S,FCU4,AHU2,
5F,客室7S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室7S,FCU4,AHU2,
5F,客室8S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室8S,FCU4,AHU2,
5F,客室9TW,ホテル等,客室,20.18796806,2.95,2.4,5F,客室9TW,FCU4,AHU2,
5F,客室10S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室10S,FCU4,AHU2,
5F,客室11S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室11S,FCU4,AHU2,
5F,客室12S,ホテル等,客室,16.6690888,2.95,2.4,5F,客室12S,FCU4,AHU2,
