様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,ホール,地中,,,B1F,56.50892,,,
B1F,和食堂,北,,,B1W,40.5,,,
,,西,,,B1W,36,,,
,,地中,,,B1F,236.821377,,,
B1F,管理室,西,,,B1W,14.79,,,
,,地中,,,B1F,9.48766,,,
1F,ホール,東,,,OW1,12.852,,,
1F,コーヒーテラス,北,,,OW1,37.2708,WNDW1,11.22,有
,,西,,,OW1,54.8352,WNDW1,28.7232,有
1F,ナイトラウンジ,北,,,OW1,58.6908,,,
,,南,,,OW1,46.2672,,,
1F,防災センター,東,,,OW1,6.3,,,
,,南,,,OW1,30.66,,,
,,西,,,OW1,10.5,,,
2F,ロビー,北,,,OW1,26.88,,,
2F,ラウンジ,北,,,OW1,53.55,WNDW1,24.8625,有
,,西,,,OW1,18.4212,,,
2F,レストラン,西,,,OW1,61.6896,WNDW1,28.6416,有
2F,バックオフィス,北,,,OW1,25.7712,WNDW1,5.1408,有
,,南,,,OW1,21,,,
3F,ミーティングルームA,北,,,OW1,29.88,,,
,,西,,,OW1,59.76,WNDW1,5.038848,有
3F,ミーティングルームB,東,,,OW1,29.88,WNDW1,2.776032,有
3F,廊下A,北,,,OW1,29.6,,,
3F,事務室A,南,,,OW1,11.537,WNDW1,1.586304,有
3F,事務室B,北,,,OW1,32.1625,WNDW1,3.779136,有
3F,従業員休憩室,南,,,OW1,30.9009,WNDW1,1.189728,有
3F,仮眠室,南,,,OW1,6.3495,WNDW1,1.189728,有
3F,パントリー,西,,,OW1,14.3922,WNDW1,1.259712,有
3F,男子ロッカー室,西,,,OW1,19.0485,,,
,,北,,,OW1,18.5588,,,
3F,女子ロッカー室,西,,,OW1,5.9262,,,
,,南,,,OW1,21.58,,,
3F,メイド員・控室・休憩室,西,,,OW1,22.4349,WNDW1,2.519424,有
4F,客室1S,東,,,OW1,10.62,WNDW1,1.259712,有
4F,客室2S,東,,,OW1,10.62,WNDW1,1.259712,有
4F,客室3S,東,,,OW1,10.62,WNDW1,1.259712,有
4F,客室4S,東,,,OW1,10.62,WNDW1,1.259712,有
4F,客室5S,東,,,OW1,10.62,WNDW1,1.259712,有
4F,客室6S,西,,,OW1,10.62,WNDW1,1.259712,有
,,南,,,OW1,15.34,,,
4F,客室7S,西,,,OW1,10.62,WNDW1,1.259712,有
