様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,蓄熱有無,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
R1,無,有,,,直焚吸収冷温水機,1番目,1,7,317,23.1,3.17,15,600,2.2,15,1番目,1,45,245,23.1,2.71,15,
,,,,,直焚吸収冷温水機,2番目,1,7,317,23.1,3.17,15,600,2.2,15,2番目,1,45,245,23.1,2.71,15,
PAC1,無,無,,,電気式ビル用マルチ,1番目,1,,8.2,2.2,0.07,,,,,1番目,1,,9.4,2.2,0.07,,
PAC2,無,無,,,電気式ビル用マルチ,1番目,1,,2.9,0.75,0.023,,,,,1番目,1,,4.06,0.75,0.023,,
PAC22,無,無,,,電気式ビル用マルチ,1番目,1,,5.8,1.5,0.046,,,,,1番目,1,,8.12,1.5,0.046,,
PAC3,無,無,,,電気式ビル用マルチ,1番目,1,,29,7.5,0.26,,,,,1番目,1,,32.5,7.5,0.26,,
RAC1,無,無,,,電気式ビル用マルチ,1番目,1,,2.9,0.7,0.02,,,,,1番目,1,,4.17,0.7,0.02,,
AC3,無,無,,,電気式ビル用マルチ,1番目,2,,29,7.5,0.26,,,,,1番目,2,,32.48,7.5,0.26,,
AC5,無,無,,,電気式ビル用マルチ,1番目,1,,11.6,3,0.095,,,,,1番目,1,,13.2,3,0.095,,
AC89,無,無,,,電気式ビル用マルチ,1番目,1,,7,52.2,13.5,,,,,1番目,1,,58.46,13.5,0.32,,
AC9,無,無,,,電気式ビル用マルチ,1番目,1,,14.5,3.75,0.1,,,,,1番目,1,,16.24,3.75,0.1,,
ACREST,無,無,,,電気式ビル用マルチ,1番目,1,,3,26.1,6.7,,,,,1番目,1,,30.15,6.7,0.14,,
ACWA,無,無,,,電気式ビル用マルチ,1番目,1,,8,72.5,18.75,,,,,1番目,1,,81.2,18.75,0.62,,
AC12,無,無,,,電気式ビル用マルチ,1番目,1,,4,46.4,12,,,,,1番目,1,,51.96,12,0.24,,
,,,,,,,,,,,,,,,,,,,,,,,
