様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AHU1,1,空調機,127,122,8300,5.5,,,,定風量制御,,無,無,無,,,,,R1,R1,,,AHU-1
AHU2,1,空調機,245,230,15000,7.5,,,,定風量制御,,無,無,無,,,,,R1,R1,,,AHU-2
FCU11_b,1,FCU,13.2,16.64,2040,16.64,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-1×2台
FCU11_1,1,FCU,13.2,16.64,2040,16.64,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-1×2台
FCU22,1,FCU,11.7,16.56,2160,16.56,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-2
FCU3,3,FCU,2.76,3.36,510,0.079,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-3
FCU33,2,FCU,6.9,8.4,1275,0.1975,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-3×2.5台
FCU4,135,FCU,1.77,2.15,360,0.073,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-4
FCU5,11,FCU,2.76,3.36,510,0.082,,,,定風量制御,,無,無,無,,,,,R1,R1,,,FCU-5
PAC1a,1,室内機,8.2,9.4,1260,0.03,,,0.03,定風量制御,,無,無,無,,,,,PAC1,PAC1,,,PAC-1
PAC2a,1,室内機,2.9,4.06,534,0.022,,,0.05,定風量制御,,無,無,無,,,,,PAC2,PAC2,,,PAC-2
PAC22a,1,室内機,5.8,8.12,1068,0.044,,,0.1,定風量制御,,無,無,無,,,,,PAC22,PAC22,,,PAC-2×2台
PAC44a,1,室内機,13.92,15.66,2160,15.66,,,0.13,定風量制御,,無,無,無,,,,,PAC3,PAC3,,,PAC-4×3台
PAC5a,1,室内機,7.3,8.2,1020,0.085,,,0.12,定風量制御,,無,無,無,,,,,PAC3,PAC3,,,PAC-5
PAC6a,2,室内機,5.8,6.5,960,0.15,,,0.08,定風量制御,,無,無,無,,,,,PAC3,PAC3,,,PAC-6
RAC1a,1,室内機,2.9,4.17,540,0.01,,,0.03,定風量制御,,無,無,無,,,,,RAC1,RAC1,,,RAC-1
AC12a,1,室内機,46.4,51.96,7200,51.96,,,,定風量制御,,無,無,無,,,,,AC12,AC12,,,AC-1×4台
AC33a,2,室内機,29,32.48,4080,32.48,,,0.6,定風量制御,,無,無,無,,,,,AC3,AC3,,,AC-3×2台
AC5a,1,室内機,11.6,13.2,1980,0.255,,,0.16,定風量制御,,無,無,無,,,,,AC5,AC5,,,AC-5
AC89a,1,室内機,52.2,56.78,7680,56.78,,,0.97,定風量制御,,無,無,無,,,,,AC89,AC89,,,AC-8×2台+AC-9×2台
ACRESTa,1,室内機,43.6,48.94,6360,48.94,,,0.35,定風量制御,,無,無,無,,,,,ACREST,ACREST,,,AC-3×2台+AC-4×2台
ACWAa,1,室内機,72.5,81.2,10200,81.2,,,,定風量制御,,無,無,無,,,,,ACWA,ACWA,,,AC-6×4台+AC-7×1台
,,,,,,,,,,,,,,,,,,,,,,,
