様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
B1F,男性用トイレ,ホテル等,客室部便所,8.18441,排気,F-09
B1F,女性用トイレ,ホテル等,客室部便所,13.366132,排気,F-09
B1F,厨房（和食堂）,ホテル等,厨房,69.64568,給気,F-10
,,,,,排気,F-08
B1F,機械室・受水槽室,ホテル等,機械室,188.08504,給気,SF-01
,,,,,排気,EF-01
B1F,冷凍・冷蔵庫室,ホテル等,食品庫等,19.18384,排気,EF-02
B1F,ポンプ室,ホテル等,機械室,20.852,排気,EF-02
B1F,ハロンボンベ室,ホテル等,機械室,7.2982,排気,EF-02
1F,厨房（コーヒーテラス）,ホテル等,厨房,23.395944,給気,F-02
,,,,,排気,F-01
1F,厨房（ナイトラウンジ）,ホテル等,厨房,22.791236,給気,AC-9a
,,,,,排気,F-12
1F,男性用トイレ,ホテル等,客室部便所,7.006272,排気,EF-07
1F,女性用トイレ,ホテル等,客室部便所,9.3834,排気,EF-07
1F,生ゴミ置き場,ホテル等,ゴミ置場等,5.99495,排気,EF-03
1F,ゴミ置き場,ホテル等,ゴミ置場等,6.56838,排気,EF-03
2F,厨房（レストラン）,ホテル等,厨房,66.559584,給気,AHU-3
,,,,,排気,F-03
2F,男性用トイレ,ホテル等,客室部便所,10.00896,排気,EF-09
2F,女性用トイレ,ホテル等,客室部便所,11.9899,排気,EF-08
2F,トイレ,ホテル等,客室部便所,5.7343,排気,EF-17-01
,,,,,排気,EF-17-02
3F,クローク,ホテル等,客室部ロビー,6.954142,排気,EF-22
3F,倉庫,ホテル等,更衣室,14.70066,排気,EF-20-03
3F,男性用トイレ,ホテル等,客室部便所,17.296734,排気,EF-10
3F,女性用トイレ,ホテル等,客室部便所,9.862996,排気,EF-11
3F,シャワー室,ホテル等,洗面室,2.001792,排気,EF-21
3F,パントリー,ホテル等,湯沸室等,24.219598,排気,F-07
3F,男子ロッカー室,ホテル等,更衣室,21.018816,排気,EF-19-04
3F,女子ロッカー室,ホテル等,更衣室,11.093264,排気,EF-20-04
3F,トイレ,ホテル等,客室部便所,8.75784,排気,EF-17-03
,,,,,排気,EF-17-04
4F,客室1S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
4F,客室2S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
4F,客室3S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
4F,客室4S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
4F,客室5S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-01
4F,客室6S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-01
4F,客室7S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-01
4F,客室8S_UB,ホテル等,洗面室,3.95291364,排気,EF-05-01
4F,客室9TW_UB,ホテル等,洗面室,3.7403275,排気,EF-04
4F,客室10S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
4F,客室11S_UB,ホテル等,洗面室,3.95291364,排気,EF-04
