様式 3-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
?,②,?,制御による補正,,
,,,④,⑤,⑥
換気機器名称,定格風量,電動機定格消費電力,高効率電動機の有無,インバータの有無,送風量制御
,,,,,
,[?/h],[kW],,,
,,,(選択）,(選択）,(選択）
,,,,,
SF-01,3000,0.75,無,無,無
EF-01,4400,1.5,無,無,無
EF-02,3100,1.5,無,無,無
EF-03,1500,0.4,無,無,無
EF-04,7920,3.7,無,無,無
EF-05-01,670,0.21,無,無,無
EF-05-02,670,0.21,無,無,無
EF-05-03,670,0.21,無,無,無
EF-05-04,670,0.21,無,無,無
EF-05-05,670,0.21,無,無,無
EF-05-06,670,0.21,無,無,無
EF-05-07,670,0.21,無,無,無
EF-05-08,670,0.21,無,無,無
EF-05-09,670,0.21,無,無,無
EF-05-10,670,0.21,無,無,無
EF-05-11,670,0.21,無,無,無
EF-07,700,0.19,無,無,無
EF-08,450,0.12,無,無,無
EF-09,350,0.12,無,無,無
EF-10,600,0.12,無,無,無
EF-11,400,0.12,無,無,無
EF-17-01,200,0.0255,無,無,無
EF-17-02,200,0.0255,無,無,無
EF-17-03,200,0.0255,無,無,無
EF-17-04,200,0.0255,無,無,無
EF-19-04,300,0.0475,無,無,無
EF-20-03,200,0.0255,無,無,無
EF-20-04,200,0.0255,無,無,無
EF-21,100,0.0155,無,無,無
EF-22,100,0.0155,無,無,無
F-01,2400,0.75,無,無,無
F-02,1500,0.97,無,無,無
F-03,9850,3.7,無,無,無
F-07,450,0.21,無,無,無
F-08,9400,3.7,無,無,無
F-09,600,0.19,無,無,無
F-10,6720,2.1,無,無,無
F-12,4350,2.2,無,無,無
AC-9a,2040,0.27,無,無,無
AHU-3,8100,3.7,無,無,無
,,,,,
