様式 4-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
B1F,和食堂,ホテル等,レストラン,151.02,便所,無,BH1
,,,,,,無,BH2
,,,,,,無,EH1
1F,コーヒーテラス,ホテル等,レストラン,94.30317,便所,無,BH3
1F,ナイトラウンジ,ホテル等,ラウンジ（夜）,99.35978,便所,無,BH4
2F,ラウンジ,ホテル等,ラウンジ（終日）,85.461922,便所,無,B1
,,,,,,無,B2
2F,レストラン,ホテル等,レストラン,114.586953,便所,無,B1
,,,,,,無,B2
3F,ロビー・ホワイエ,ホテル等,ロビー（終日）,67.581332,便所,無,B1
,,,,,,無,B2
3F,ミーティングルームA,事務所等,会議室,124.0694,便所,無,B1
,,,,,,無,B2
3F,ミーティングルームB,事務所等,会議室,38.127882,便所,無,B1
,,,,,,無,B2
3F,仮眠室,ホテル等,事務室（終日）,7.50672,シャワー室,無,B1
,,,,,,無,B2
3F,シャワー室,ホテル等,客室（洗面）,2.001792,洗面室,無,B1
,,,,,,無,B2
4F,客室1S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室2S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室3S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室4S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室4S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室5S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室5S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室6S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室6S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室7S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室7S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室8S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室8S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室9TW,ホテル等,客室,20.18796806,客室,無,B1
,,,,,,無,B2
4F,客室9TW_UB,ホテル等,客室（洗面）,3.7403275,洗面室,無,B1
,,,,,,無,B2
4F,客室10S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室10S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室11S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室11S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室12S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室12S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
4F,客室13S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
4F,客室13S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室1S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室2S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室3S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室4S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室4S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室5S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室5S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室6S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室6S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室7S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室7S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室8S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室8S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室9TW,ホテル等,客室,20.18796806,客室,無,B1
,,,,,,無,B2
5F,客室9TW_UB,ホテル等,客室（洗面）,3.7403275,洗面室,無,B1
,,,,,,無,B2
5F,客室10S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室10S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室11S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室11S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室12S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室12S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
5F,客室13S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
5F,客室13S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室1S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室2S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室3S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室4S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室4S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室5S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室5S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室6S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室6S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室7S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室7S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室8S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室8S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
6F,客室9TW,ホテル等,客室,20.18796806,客室,無,B1
,,,,,,無,B2
6F,客室9TW_UB,ホテル等,客室（洗面）,3.7403275,洗面室,無,B1
,,,,,,無,B2
6F,客室10S,ホテル等,客室,16.6690888,客室,無,B1
,,,,,,無,B2
6F,客室10S_UB,ホテル等,客室（洗面）,3.95291364,洗面室,無,B1
,,,,,,無,B2
