様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
B1F,C階段,ホテル等,廊下（終日）,44.41476,5,3.5,,,1,,A18,18,7,,,,,,
B1F,ホール,ホテル等,ロビー（終日）,56.50892,5,3.5,3.67992,11.2442,,,A18,18,14,,,,,,
B1F,和食堂,ホテル等,レストラン,151.02,5,3.5,15.94632,17.8885,,,F,25,3,,,,,,
,,,,,,,,,,,K,40,145,,,,,,
,,,,,,,,,,,DS,50,24,,,,,,
,,,,,,,,,,,C,65,21,,,,,,
,,,,,,,,,,,H,60,1,,,,,,
,,,,,,,,,,,J,75,4,,,,,,
B1F,男性用トイレ,ホテル等,トイレ（終日）,8.18441,5,3.5,4.5,18,,,L,40,4,,,,,,
B1F,女性用トイレ,ホテル等,トイレ（終日）,13.366132,5,3.5,4.5,18,,,G,60,4,,,,,,
B1F,トイレ,ホテル等,トイレ（終日）,6.234748,5,3.5,4.5,18,,,P,40,1,,,,,,
B1F,厨房（和食堂）,ホテル等,厨房,69.64568,5,3.5,9.1998,7.25762,,FL,M,80,13,,,,,,
B1F,廊下B,ホテル等,廊下（終日）,16.47308,5,3.5,,,1,,,32,2,,,,,,
B1F,D避難階段,ホテル等,廊下（終日）,5.52578,5,3.5,,,1,FL,,16,2,,,,,,
B1F,機械室・受水槽室,ホテル等,電気・機械室（標準）,188.08504,5,3.5,,,1,,,32,20,,,,,,
B1F,廊下A,ホテル等,廊下（終日）,10.53026,5,3.5,,,1,,,32,1,,,,,,
B1F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,16.6816,5,3.5,5.111,3.5777,,,,64,1,,,,,,
B1F,管理室,ホテル等,事務室（終日）,9.48766,5,3.5,5.92876,2.45328,,埋め込み,,32,3,,,,,,
B1F,ポンプ室,ホテル等,電気・機械室（標準）,20.852,5,3.5,,,1,,,32,2,,,,,,
B1F,ハロンボンベ室,ホテル等,電気・機械室（標準）,7.2982,5,3.5,,,1,,,32,1,,,,,,
1F,風除室1,ホテル等,ロビー（終日）,18.7668,4.2,2.7,4.29324,3.27104,,,A18,18,6,,,,,,
1F,ホール,ホテル等,ロビー（終日）,95.564716,4.2,2.7,14.8219,19.01292,,,A18,18,18,,,,,,
1F,TELコーナー,ホテル等,ロビー（終日）,12.5112,4.2,2.7,3.27104,3.88436,,,H60,60,3,,,,,,
1F,A避難階段,ホテル等,廊下（終日）,10.9473,4.2,2.7,,,1,,,32,1,,,,,,
1F,E内部階段,ホテル等,廊下（終日）,4.27466,4.2,2.7,,,1,DL,A18,18,2,,,,,,
1F,コーヒーテラス,ホテル等,レストラン,94.30317,4.2,2.7,8.38204,12.67528,,D.L,ハロゲン,85,2,,,,,,
,,,,,,,,,,D.L,ミニ電球,100,15,,,,,,
,,,,,,,,,,D.L,ミニハロゲン,50,59,,,,,,
,,,,,,,,,,D.L,ミニレクン,50,5,,,,,,
,,,,,,,,,,P,ミニクリプトン,36,1,,,,,,
,,,,,,,,,,B,ミニ電球,60,4,,,,,,
,,,,,,,,,,B,ミニ電球,25,1,,,,,,
,,,,,,,,,,,リキスト,150,5,,,,,,
,,,,,,,,,,,リキスト,60,4,,,,,,
1F,厨房（コーヒーテラス）,ホテル等,厨房,23.395944,4.2,2.7,7.25762,1.0222,,FL,,80,3,,,,,,
,,,,,,,,,,FL,,40,1,,,,,,
,,,,,,,,,,DL,,100,2,,,,,,
1F,風除室2,ホテル等,ロビー（終日）,6.51625,4.2,2.7,2.65772,2.75994,,,A18,18,4,,,,,,
1F,ナイトラウンジ,ホテル等,ラウンジ（夜）,99.35978,4.2,2.7,13.7997,9.50646,,,,16,2,,,,,,
,,,,,,,,,,,,32,8,,,,,,
,,,,,,,,,,,DL,25,8,,,,,,
,,,,,,,,,,,DL,50,9,,,,,,
,,,,,,,,,,,DL,85,3,,,,,,
,,,,,,,,,,,SL,75,9,,,,,,
,,,,,,,,,,,シーリング,150,3,,,,,,
1F,厨房（ナイトラウンジ）,ホテル等,厨房,22.791236,4.2,2.7,6.54208,1.83996,,FL,,80,3,,,,,,
,,,,,,,,,,DL,,50,2,,,,,,
,,,,,,,,,,FL,,40,1,,,,,,
1F,廊下A,ホテル等,廊下（終日）,22.999756,4.2,2.7,,,1,,,16,2,,,,,,
1F,廊下B,ホテル等,廊下（終日）,7.319052,4.2,2.7,,,1,,,16,2,,,,,,
1F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,13.720616,4.2,2.7,3.88436,4.80434,,,,64,1,,,,,,
1F,男性用トイレ,ホテル等,トイレ（終日）,7.006272,4.2,2.7,4.5999,2.0444,,,A13,13,3,,,,,,
,,,,,,,,,,,P61,60,1,,,,,,
1F,女性用トイレ,ホテル等,トイレ（終日）,9.3834,4.2,2.7,2.75994,2.5555,,,A13,13,4,,,,,,
,,,,,,,,,,,P61,60,2,,,,,,
1F,サービスボード,ホテル等,厨芥置き場等,17.51568,4.2,2.7,4.5999,5.21322,,,,32,4,,,,,,
1F,生ゴミ置き場,ホテル等,厨芥置き場等,5.99495,4.2,2.7,2.24884,2.5555,,,,16,1,,,,,,
1F,ゴミ置き場,ホテル等,厨芥置き場等,6.56838,4.2,2.7,2.86216,2.5555,,,,16,1,,,,,,
1F,防災センター,ホテル等,事務室（終日）,28.588092,4.2,2.7,5.51988,5.72432,,,,96,5,,,,,,
2F,ロビー,ホテル等,ロビー（終日）,110.025578,4.2,2.7,12.2664,15.333,,DL,A18,18,28,,,,,,
,,,,,,,,,,DL,H60,60,6,,,,,,
2F,E内部階段,ホテル等,廊下（終日）,19.70514,4.2,2.7,,,1,,AC61,60,11,,,,,,
2F,A避難階段,ホテル等,廊下（終日）,24.60536,4.2,2.7,,,1,FL,,20,1,,,,,,
2F,厨房（レストラン）,ホテル等,厨房,66.559584,4.2,2.7,11.03976,5.72432,,FL,,80,10,,,,,,
2F,ラウンジ,ホテル等,ラウンジ（終日）,85.461922,4.2,2.7,14.3108,6.03098,,D.L,,25,15,,,,,,
,,,,,,,,,,D.L,,50,95,,,,,,
,,,,,,,,,,D.L,,65,17,,,,,,
,,,,,,,,,,D.L,,85,2,,,,,,
2F,レストラン,ホテル等,レストラン,114.586953,4.2,2.7,14.3108,6.03098,,D.L,,50,94,,,,,,
,,,,,,,,,,D.L,,65,17,,,,,,
,,,,,,,,,,D.L,,25,8,,,,,,
,,,,,,,,,,D.L,,45,15,,,,,,
2F,フロント,ホテル等,フロント（終日）,10.63452,4.2,2.7,2.75994,5.72432,,FL,K41,40,4,,,,,,
,,,,,,,,,,DL,T100,100,4,,,,,,
2F,トイレ前室,ホテル等,トイレ（終日）,10.905596,4.2,2.7,,,1,DL,A18,18,5,,,,,,
2F,男性用トイレ,ホテル等,トイレ（終日）,10.00896,4.2,2.7,5.111,2.45328,,DL,A18,18,3,,,,,,
2F,女性用トイレ,ホテル等,トイレ（終日）,11.9899,4.2,2.7,3.67992,2.35106,,DL,A13,13,4,,,,,,
,,,,,,,,,,P,P61,60,2,,,,,,
2F,バックオフィス,ホテル等,事務室（終日）,44.664984,4.2,2.7,5.92876,6.84874,,FL,,64,18,,,,,,
2F,倉庫,ホテル等,食品庫等,20.95626,4.2,2.7,5.111,4.80434,,FL,,32,1,,,,,,
2F,仮眠室,ホテル等,事務室（終日）,6.474546,4.2,2.7,2.5555,2.35106,,FL,,64,1,,,,,,
2F,OA機器室,ホテル等,電気・機械室（標準）,52.75556,4.2,2.7,,,1,FL,,64,1,,,,,,
2F,廊下B,ホテル等,廊下（終日）,7.319052,4.2,2.7,,,1,FL,,32,2,,,,,,
2F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,14.38788,4.2,2.7,3.88436,4.80434,,FL,,64,1,,,,,,
2F,廊下C,ホテル等,廊下（終日）,10.9473,4.2,2.7,,,1,FL,Q22,40,3,,,,,,
2F,廊下D,ホテル等,廊下（終日）,12.208846,4.2,2.7,,,1,FL,Q22,40,3,,,,,,
2F,トイレ,ホテル等,トイレ（終日）,5.7343,4.2,2.7,2.5555,2.45328,,FL,Q22,40,2,,,,,,
