様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
B1F,乗降ロビー,事務所等,廊下,19.79,4.5,2.3,,,■,,
B1F,A階段前室,事務所等,廊下,24.78,4.5,2.3,,,■,,
B1F,前室1,事務所等,廊下,1.68,4.5,2.3,,,■,,
B1F,倉庫（小）,事務所等,更衣室又は倉庫,8.75,4.5,2.3,,,■,,
B1F,A階段,事務所等,廊下,15.9,4.5,4.5,,,■,,
B1F,清掃員控室,事務所等,事務室,14.52,4.5,2.3,■,,■,■,
B1F,脱衣室,事務所等,更衣室又は倉庫,4.83,4.5,2.3,,■,■,,
B1F,便所,事務所等,便所,2.09,4.5,2.3,,■,■,,
B1F,前室2,事務所等,廊下,2.16,4.5,2.3,,,■,,
B1F,倉庫（大）,事務所等,機械室,203.04,4.5,2.3,,■,■,,
B1F,設備機械室,事務所等,機械室,633.44,4.5,4.5,,■,■,,
B1F,電話端子盤室,事務所等,機械室,18.45,4.5,4.5,,■,■,,
B1F,電気室,事務所等,電気室,85.2,4.5,4.5,,■,■,,
B1F,PS1,事務所等,機械室,1.62,4.5,4.5,,,■,,
B1F,PS2,事務所等,機械室,3.5,4.5,4.5,,,■,,
B1F,EPS,事務所等,機械室,3.01,4.5,4.5,,,■,,
1F,エントランスホール,事務所等,ロビー,188.48,3.8,6.4,■,,■,,
1F,ロビー,事務所等,ロビー,53.64,3.8,6.4,■,,■,,
1F,EVホール,事務所等,廊下,25.74,3.8,2.3,,,■,,
1F,乗降ロビー,事務所等,廊下,11.6,3.8,2.3,,,■,,
1F,廊下,事務所等,廊下,101.05,3.8,2.3,,,■,,
1F,管理員詰所,事務所等,事務室,16.1,3.8,2.3,■,,■,■,
1F,湯沸室,事務所等,湯沸室等,4.14,3.8,2.3,,■,■,,
1F,身障者便所,事務所等,便所,4.41,3.8,2.3,,■,■,,
1F,中央管理室,事務所等,中央監視室,29.9,3.8,2.3,■,,■,■,
1F,男子便所,事務所等,便所,14.16,3.8,2.3,,■,■,,
1F,女子便所,事務所等,便所,8.73,3.8,2.3,,■,■,,
1F,駐車場管理室,事務所等,事務室,11.66,3.8,2.3,■,,■,■,
1F,貸室I,事務所等,事務室,315.2,3.8,2.6,■,,■,■,
1F,貸室P,事務所等,事務室,39.45,3.8,2.6,■,,■,■,
1F,メール室,事務所等,更衣室又は倉庫,2.89,3.8,2.3,,,■,,
1F,PS1,事務所等,機械室,5.75,3.8,3.8,,,■,,
1F,PS2,事務所等,機械室,3.12,3.8,3.8,,,■,,
1F,PS3,事務所等,機械室,2.3,3.8,3.8,,,■,,
1F,PS4,事務所等,機械室,3,3.8,3.8,,,■,,
1F,PS5,事務所等,機械室,1.68,3.8,3.8,,,■,,
1F,PS6,事務所等,機械室,1.54,3.8,3.8,,,■,,
1F,DS1,事務所等,機械室,2.99,3.8,3.8,,,■,,
1F,DS2,事務所等,機械室,3.24,3.8,3.8,,,■,,
1F,DS3,事務所等,機械室,8,3.8,3.8,,,■,,
１F,EPS1,事務所等,機械室,3.85,3.8,3.8,,,■,,
1F,EPS2,事務所等,機械室,8.28,3.8,3.8,,,■,,
1F,空調機械室,事務所等,機械室,44.53,3.8,3.8,,,■,,
1F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
2F,EVホール,事務所等,廊下,31.45,3.8,2.3,,,■,,
2F,乗降ロビー,事務所等,廊下,11.6,3.8,2.3,,,■,,
2F,廊下,事務所等,廊下,89.04,3.8,2.3,,,■,,
2F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
2F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
2F,男子便所,事務所等,便所,14.16,3.8,2.3,,■,■,,
2F,女子便所,事務所等,便所,8.73,3.8,2.3,,■,■,,
2F,冷凍保安責任者控室,事務所等,更衣室又は倉庫,36.25,3.8,2.3,,,■,,
2F,貸室I,事務所等,事務室,404.61,3.8,2.6,■,,■,■,
2F,貸室P,事務所等,事務室,59.83,3.8,2.6,■,,■,■,
2F,PS1,事務所等,機械室,5.09,3.8,3.8,,,■,,
2F,PS2,事務所等,機械室,3.12,3.8,3.8,,,■,,
2F,PS3,事務所等,機械室,2.4,3.8,3.8,,,■,,
2F,PS4,事務所等,機械室,3,3.8,3.8,,,■,,
2F,PS5,事務所等,機械室,1.68,3.8,3.8,,,■,,
2F,PS6,事務所等,機械室,1.95,3.8,3.8,,,■,,
2F,PS7,事務所等,機械室,4.85,3.8,3.8,,,■,,
2F,PS8,事務所等,機械室,2.38,3.8,3.8,,,■,,
2F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
2F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
2F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
2F,EPS1,事務所等,機械室,3.75,3.8,3.8,,,■,,
2F,EPS2,事務所等,機械室,8.91,3.8,3.8,,,■,,
2F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
2F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
3F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
3F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
3F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
3F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
3F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
3F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
3F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
3F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
3F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
3F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
3F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
3F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
3F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
3F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
3F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
3F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
3F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
3F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
3F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
3F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
3F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
4F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
4F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
4F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
4F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
4F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
4F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
4F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
4F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
4F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
4F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
4F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
4F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
4F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
4F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
4F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
4F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
4F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
4F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
4F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
4F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
4F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
5F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
5F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
5F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
5F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
5F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
5F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
5F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
5F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
5F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
5F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
5F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
5F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
5F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
5F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
5F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
5F,DS3,事務所等,機械室,7.76,3.8,3.8,,,■,,
5F,EPS1,事務所等,機械室,3.78,3.8,3.8,,,■,,
5F,EPS2,事務所等,機械室,17.71,3.8,3.8,,,■,,
5F,EPS3,事務所等,機械室,7.04,3.8,3.8,,,■,,
5F,空調機械室,事務所等,機械室,44.89,3.8,3.8,,,■,,
5F,A階段,事務所等,廊下,15.12,3.8,3.8,,,■,,
6F,EVホール,事務所等,廊下,31.45,3.8,2.45,■,,■,,
6F,乗降ロビー,事務所等,廊下,14.88,3.8,2.3,,,■,,
6F,廊下,事務所等,廊下,53.25,3.8,2.3,,,■,,
6F,倉庫,事務所等,更衣室又は倉庫,22.78,3.8,2.3,,■,■,,
6F,湯沸室,事務所等,湯沸室等,4.83,3.8,2.3,,■,■,,
6F,男子便所,事務所等,便所,19.35,3.8,2.3,,■,■,,
6F,女子便所,事務所等,便所,15.39,3.8,2.3,,■,■,,
6F,貸室I,事務所等,事務室,629.41,3.8,2.6,■,,■,■,
6F,貸室P,事務所等,事務室,117.16,3.8,2.6,■,,■,■,
6F,PS1,事務所等,機械室,4.05,3.8,3.8,,,■,,
6F,PS2,事務所等,機械室,2.4,3.8,3.8,,,■,,
6F,PS3,事務所等,機械室,4.59,3.8,3.8,,,■,,
6F,PS4,事務所等,機械室,4.59,3.8,3.8,,,■,,
6F,DS1,事務所等,機械室,3,3.8,3.8,,,■,,
6F,DS2,事務所等,機械室,3.45,3.8,3.8,,,■,,
