様式 3-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
①,②,③,制御による補正,,
,,,④,⑤,⑥
換気機器名称,定格風量,電動機定格消費電力,高効率電動機の有無,インバータの有無,送風量制御
,,,,,
,[m3/h],[kW],,,
,,,(選択）,(選択）,(選択）
,,,,,
SF-B-1,8100,2.2,無,無,無
SF-B-2,4620,1.5,無,無,無
SF-B-3,500,0.113,無,無,無
EF-B-1,8100,2.2,無,無,無
EF-B-2,4620,1.5,無,無,無
EF-B-3,500,0.113,無,無,無
EF-B-4,70,0.028,無,無,無
EF-B-5,40,0.028,無,無,無
EF-1-2,280,0.106,無,無,無
EF-1-3,210,0.106,無,無,無
EF-1-4,110,0.045,無,無,無
EF-1-5,486,0.061,無,無,無
EF-2-2,280,0.106,無,無,無
EF-2-3,210,0.106,無,無,無
EF-2-4,486,0.061,無,無,無
EF-2-5,380,0.113,無,無,無
EF-3-2,550,0.113,無,無,無
EF-3-3,500,0.132,無,無,無
EF-3-4,486,0.061,無,無,無
EF-3-5,380,0.113,無,無,無
EF-4-2,550,0.113,無,無,無
EF-4-3,500,0.132,無,無,無
EF-4-4,486,0.061,無,無,無
EF-4-5,380,0.113,無,無,無
EF-5-2,550,0.113,無,無,無
EF-5-3,500,0.132,無,無,無
EF-5-4,486,0.061,無,無,無
EF-5-5,380,0.113,無,無,無
EF-6-2,550,0.113,無,無,無
EF-6-3,500,0.132,無,無,無
EF-6-4,486,0.061,無,無,無
EF-6-5,380,0.113,無,無,無
EF-7-2,550,0.113,無,無,無
EF-7-3,500,0.132,無,無,無
EF-7-4,486,0.061,無,無,無
EF-7-5,380,0.113,無,無,無
EF-8-2,550,0.113,無,無,無
EF-8-3,500,0.132,無,無,無
EF-8-4,486,0.061,無,無,無
EF-8-5,380,0.113,無,無,無
EF-9-2,550,0.113,無,無,無
EF-9-3,500,0.132,無,無,無
EF-9-4,486,0.061,無,無,無
EF-9-5,380,0.113,無,無,無
EF-10-2,550,0.113,無,無,無
EF-10-3,500,0.132,無,無,無
EF-10-4,486,0.061,無,無,無
EF-10-5,380,0.113,無,無,無
EF-11-2,550,0.113,無,無,無
EF-11-3,500,0.132,無,無,無
EF-11-4,486,0.061,無,無,無
EF-11-5,380,0.113,無,無,無
EF-R-1-1,1800,0.114,無,無,温度制御
EF-R-1-2,1800,0.114,無,無,温度制御
EF-R-2,1300,0.114,無,無,温度制御
,,,,,
