様式 5-2. (給湯)給湯機器入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,②,③,④,⑤,⑥,太陽熱利用,,,⑩
,,,,,,⑦,⑧,⑨,
給湯機器名称,燃料種類,定格加熱能力,熱源効率（一次エネルギー換算）,配管保温仕様,接続口径,有効集熱面積,集熱面の方位角,集熱面の傾斜角,備考
,,,,,,,,,
,(選択）,[kW],[-],,[mm],[㎡],[°],[°],
,,,,(選択),,,,,
,,,,,,,,,
EH1-B1F,電気,3,0.37,保温仕様1,20,,,,シャワー用
EH2-1F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-2F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-3F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-4F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-5F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-6F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-7F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-8F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-9F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-10F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH2-11F-M,電気,2,0.37,保温仕様1,15,,,,男子便所手洗い用
EH3-1F,電気,3,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-2F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-3F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-4F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-5F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-6F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-7F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-8F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-9F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-10F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH3-11F,電気,0.75,0.37,保温仕様1,15,,,,湯沸室　開放　ボイリング
EH2-1F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-2F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-3F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-4F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-5F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-6F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-7F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-8F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-9F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-10F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH2-11F-F,電気,2,0.37,保温仕様1,15,,,,女子便所手洗い用
EH4-2F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-3F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-4F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-5F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-6F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-7F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-8F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-9F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-10F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
EH4-11F,電気,3,0.37,保温仕様1,15,,,,湯沸室　密閉　洗い用
,,,,,,,,,
