様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
B1F,清掃員控室,事務所等,事務室,14.52,4.5,2.3,B1F,清掃員控室,FCU-B-1,FCU-B-1,
1F,エントランスホール,事務所等,ロビー,188.48,3.8,6.4,1F,エントランスホール,AHU-B-1,AHU-B-1,
1F,ロビー,事務所等,ロビー,53.64,3.8,6.4,1F,ロビー,AHU-B-1,AHU-B-1,
1F,管理員詰所,事務所等,事務室,16.1,3.8,2.3,1F,管理員詰所,FCU-1-2,FCU-1-2,
1F,中央管理室,事務所等,中央監視室,29.9,3.8,2.3,1F,中央管理室,ACP-1-1,ACP-1-1,
1F,駐車場管理室,事務所等,事務室,11.66,3.8,2.3,1F,駐車場管理室,FCU-1-3,FCU-1-3,
1F,貸室I,事務所等,事務室,315.2,3.8,2.6,1F,貸室I,AHU-1-1,AHU-1-1,
1F,貸室P,事務所等,事務室,39.45,3.8,2.6,1F,貸室P,FCU-1-1,AHU-1-1,
2F,貸室I,事務所等,事務室,404.61,3.8,2.6,2F,貸室I,AHU-2-1,AHU-2-1,
2F,貸室P,事務所等,事務室,59.83,3.8,2.6,2F,貸室P,FCU-2-1,AHU-2-1,
3F,EVホール,事務所等,廊下,31.45,3.8,2.45,3F,EVホール,AHU-3-1,AHU-3-1,
3F,貸室I,事務所等,事務室,629.41,3.8,2.6,3F,貸室I,AHU-3-1,AHU-3-1,
3F,貸室P,事務所等,事務室,117.16,3.8,2.6,3F,貸室P,FCU-3-1,AHU-3-1,
4F,EVホール,事務所等,廊下,31.45,3.8,2.45,4F,EVホール,AHU-4-1,AHU-4-1,
4F,貸室I,事務所等,事務室,629.41,3.8,2.6,4F,貸室I,AHU-4-1,AHU-4-1,
4F,貸室P,事務所等,事務室,117.16,3.8,2.6,4F,貸室P,FCU-4-1,AHU-4-1,
5F,EVホール,事務所等,廊下,31.45,3.8,2.45,5F,EVホール,AHU-5-1,AHU-5-1,
5F,貸室I,事務所等,事務室,629.41,3.8,2.6,5F,貸室I,AHU-5-1,AHU-5-1,
5F,貸室P,事務所等,事務室,117.16,3.8,2.6,5F,貸室P,FCU-5-1,AHU-5-1,
6F,EVホール,事務所等,廊下,31.45,3.8,2.45,6F,EVホール,AHU-6-1,AHU-6-1,
6F,貸室I,事務所等,事務室,629.41,3.8,2.6,6F,貸室I,AHU-6-1,AHU-6-1,
6F,貸室P,事務所等,事務室,117.16,3.8,2.6,6F,貸室P,FCU-6-1,AHU-6-1,
7F,EVホール,事務所等,廊下,31.45,3.8,2.45,7F,EVホール,AHU-7-1,AHU-7-1,
7F,貸室I,事務所等,事務室,629.41,3.8,2.6,7F,貸室I,AHU-7-1,AHU-7-1,
7F,貸室P,事務所等,事務室,117.16,3.8,2.6,7F,貸室P,FCU-7-1,AHU-7-1,
8F,EVホール,事務所等,廊下,31.45,3.8,2.45,8F,EVホール,AHU-8-1,AHU-8-1,
8F,貸室I,事務所等,事務室,629.41,3.8,2.6,8F,貸室I,AHU-8-1,AHU-8-1,
8F,貸室P,事務所等,事務室,117.16,3.8,2.6,8F,貸室P,FCU-8-1,AHU-8-1,
9F,EVホール,事務所等,廊下,31.45,3.8,2.45,9F,EVホール,AHU-9-1,AHU-9-1,
9F,貸室I,事務所等,事務室,629.41,3.8,2.6,9F,貸室I,AHU-9-1,AHU-9-1,
9F,貸室P,事務所等,事務室,117.16,3.8,2.6,9F,貸室P,FCU-9-1,AHU-9-1,
10F,EVホール,事務所等,廊下,31.45,3.8,2.45,10F,EVホール,AHU-10-1,AHU-10-1,
10F,貸室I,事務所等,事務室,629.41,3.8,2.6,10F,貸室I,AHU-10-1,AHU-10-1,
10F,貸室P,事務所等,事務室,117.16,3.8,2.6,10F,貸室P,FCU-10-1,AHU-10-1,
11F,EVホール,事務所等,廊下,31.45,3.8,2.45,11F,EVホール,AHU-11-1,AHU-11-1,
11F,貸室I,事務所等,事務室,629.41,3.8,2.6,11F,貸室I,AHU-11-1,AHU-11-1,
11F,貸室P,事務所等,事務室,117.16,3.8,2.6,11F,貸室P,FCU-11-1,AHU-11-1,
,,,,,,,,,,,
