様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AHU-1-1,1,空調機,50.2,29.9,7400,3.7,,,,回転数制御,25,有,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,AHU-1-1
,1,送風機,,,2010,,,0.4,,定風量制御,,,,,,,,,,,,,SF-1-1
,1,送風機,,,2010,,,,0.4,定風量制御,,,,,,,,,,,,,EF-1-1
AHU-2-1,1,空調機,73.3,38.8,10700,5.5,,,,回転数制御,25,有,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,AHU-2-1
,1,送風機,,,2760,,,0.75,,定風量制御,,,,,,,,,,,,,SF-2-1
,1,送風機,,,2760,,,,0.4,定風量制御,,,,,,,,,,,,,EF-2-1
AHU-3-1,1,空調機,125.3,62.7,18710,7.5,,,,回転数制御,25,有,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,AHU-3-1
,1,送風機,,,4650,,,1.5,,定風量制御,,,,,,,,,,,,,SF-3-1
,1,送風機,,,3540,,,,0.75,定風量制御,,,,,,,,,,,,,EF-3-1
AHU-4-1,1,空調機,120.1,60.1,17210,7.5,,,,回転数制御,25,有,無,無,,,,,CHP-1,CHP-1,CH-1,CH-1,AHU-4-1
