様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
B1F,設備機械室,事務所等,機械室,633.44,給気,SF-B-1
,,,,,排気,EF-B-1
B1F,倉庫（大）,事務所等,機械室,203.04,給気,SF-B-2
,,,,,排気,EF-B-2
B1F,電話端子盤室,事務所等,機械室,18.45,給気,SF-B-3
,,,,,排気,EF-B-3
B1F,脱衣室,事務所等,更衣室又は倉庫,4.83,排気,EF-B-4
B1F,便所,事務所等,便所,2.09,排気,EF-B-5
B1F,電気室,事務所等,電気室,85.2,空調,PAC-B-1
,,,,,空調,PAC-B-2
1F,男子便所,事務所等,便所,14.16,排気,EF-1-2
1F,女子便所,事務所等,便所,8.73,排気,EF-1-3
1F,身障者便所,事務所等,便所,4.41,排気,EF-1-4
1F,湯沸室,事務所等,湯沸室等,4.14,排気,EF-1-5
2F,男子便所,事務所等,便所,14.16,排気,EF-2-2
2F,女子便所,事務所等,便所,8.73,排気,EF-2-3
2F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-2-4
2F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-2-5
3F,男子便所,事務所等,便所,19.35,排気,EF-3-2
3F,女子便所,事務所等,便所,15.39,排気,EF-3-3
3F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-3-4
3F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-3-5
4F,男子便所,事務所等,便所,19.35,排気,EF-4-2
4F,女子便所,事務所等,便所,15.39,排気,EF-4-3
4F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-4-4
4F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-4-5
5F,男子便所,事務所等,便所,19.35,排気,EF-5-2
5F,女子便所,事務所等,便所,15.39,排気,EF-5-3
5F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-5-4
5F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-5-5
6F,男子便所,事務所等,便所,19.35,排気,EF-6-2
6F,女子便所,事務所等,便所,15.39,排気,EF-6-3
6F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-6-4
6F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-6-5
7F,男子便所,事務所等,便所,19.35,排気,EF-7-2
7F,女子便所,事務所等,便所,15.39,排気,EF-7-3
7F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-7-4
7F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-7-5
8F,男子便所,事務所等,便所,19.35,排気,EF-8-2
8F,女子便所,事務所等,便所,15.39,排気,EF-8-3
8F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-8-4
8F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-8-5
9F,男子便所,事務所等,便所,19.35,排気,EF-9-2
9F,女子便所,事務所等,便所,15.39,排気,EF-9-3
9F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-9-4
9F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-9-5
10F,男子便所,事務所等,便所,19.35,排気,EF-10-2
10F,女子便所,事務所等,便所,15.39,排気,EF-10-3
10F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-10-4
10F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-10-5
11F,男子便所,事務所等,便所,19.35,排気,EF-11-2
11F,女子便所,事務所等,便所,15.39,排気,EF-11-3
11F,湯沸室,事務所等,湯沸室等,4.83,排気,EF-11-4
11F,倉庫,事務所等,更衣室又は倉庫,22.78,排気,EF-11-5
PHF,EV機械室,事務所等,機械室,71.82,排気,EF-R-1-1
,,,,,排気,EF-R-1-2
PHF,非常用EV機械室,事務所等,機械室,21.94,排気,EF-R-2
,,,,,,
