様式 5-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
B1F,清掃員控室,事務所等,事務室,14.52,脱衣室,無,EH1-B1F
1F,管理員詰所,事務所等,事務室,16.1,男子便所,無,EH2-1F-M
,,,,,湯沸室,無,EH3-1F
1F,中央管理室,事務所等,中央監視室,29.9,男子便所,無,EH2-1F-M
,,,,,湯沸室,無,EH3-1F
1F,駐車場管理室,事務所等,事務室,11.66,男子便所,無,EH2-1F-M
,,,,,湯沸室,無,EH3-1F
1F,貸室I,事務所等,事務室,315.2,男子便所,無,EH2-1F-M
,,,,,女子便所,無,EH2-1F-F
,,,,,湯沸室,無,EH3-1F
1F,貸室P,事務所等,事務室,39.45,男子便所,無,EH2-1F-M
,,,,,女子便所,無,EH2-1F-F
,,,,,湯沸室,無,EH3-1F
2F,貸室I,事務所等,事務室,404.61,男子便所,無,EH2-2F-M
,,,,,女子便所,無,EH2-2F-F
,,,,,湯沸室,無,EH3-2F
,,,,,湯沸室,無,EH4-2F
2F,貸室P,事務所等,事務室,59.83,男子便所,無,EH2-2F-M
,,,,,女子便所,無,EH2-2F-F
,,,,,湯沸室,無,EH3-2F
,,,,,湯沸室,無,EH4-2F
3F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-3F-M
,,,,,女子便所,無,EH2-3F-F
,,,,,湯沸室,無,EH3-3F
,,,,,湯沸室,無,EH4-3F
3F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-3F-M
,,,,,女子便所,無,EH2-3F-F
,,,,,湯沸室,無,EH3-3F
,,,,,湯沸室,無,EH4-3F
4F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-4F-M
,,,,,女子便所,無,EH2-4F-F
,,,,,湯沸室,無,EH3-4F
,,,,,湯沸室,無,EH4-4F
4F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-4F-M
,,,,,女子便所,無,EH2-4F-F
,,,,,湯沸室,無,EH3-4F
,,,,,湯沸室,無,EH4-4F
5F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-5F-M
,,,,,女子便所,無,EH2-5F-F
,,,,,湯沸室,無,EH3-5F
,,,,,湯沸室,無,EH4-5F
5F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-5F-M
,,,,,女子便所,無,EH2-5F-F
,,,,,湯沸室,無,EH3-5F
,,,,,湯沸室,無,EH4-5F
6F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-6F-M
,,,,,女子便所,無,EH2-6F-F
,,,,,湯沸室,無,EH3-6F
,,,,,湯沸室,無,EH4-6F
6F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-6F-M
,,,,,女子便所,無,EH2-6F-F
,,,,,湯沸室,無,EH3-6F
,,,,,湯沸室,無,EH4-6F
7F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-7F-M
,,,,,女子便所,無,EH2-7F-F
,,,,,湯沸室,無,EH3-7F
,,,,,湯沸室,無,EH4-7F
7F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-7F-M
,,,,,女子便所,無,EH2-7F-F
,,,,,湯沸室,無,EH3-7F
,,,,,湯沸室,無,EH4-7F
8F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-8F-M
,,,,,女子便所,無,EH2-8F-F
,,,,,湯沸室,無,EH3-8F
,,,,,湯沸室,無,EH4-8F
8F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-8F-M
,,,,,女子便所,無,EH2-8F-F
,,,,,湯沸室,無,EH3-8F
,,,,,湯沸室,無,EH4-8F
9F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-9F-M
,,,,,女子便所,無,EH2-9F-F
,,,,,湯沸室,無,EH3-9F
,,,,,湯沸室,無,EH4-9F
9F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-9F-M
,,,,,女子便所,無,EH2-9F-F
,,,,,湯沸室,無,EH3-9F
,,,,,湯沸室,無,EH4-9F
10F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-10F-M
,,,,,女子便所,無,EH2-10F-F
,,,,,湯沸室,無,EH3-10F
,,,,,湯沸室,無,EH4-10F
10F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-10F-M
,,,,,女子便所,無,EH2-10F-F
,,,,,湯沸室,無,EH3-10F
,,,,,湯沸室,無,EH4-10F
11F,貸室I,事務所等,事務室,629.41,男子便所,無,EH2-11F-M
,,,,,女子便所,無,EH2-11F-F
,,,,,湯沸室,無,EH3-11F
,,,,,湯沸室,無,EH4-11F
11F,貸室P,事務所等,事務室,117.16,男子便所,無,EH2-11F-M
,,,,,女子便所,無,EH2-11F-F
,,,,,湯沸室,無,EH3-11F
,,,,,湯沸室,無,EH4-11F
,,,,,,,
