様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
①,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
OW1,外壁,,,室内側,,
,,,62,せっこうボード,12,
,,,302,非密閉中空層,,
,,,182,押出法ポリスチレンフォーム　保温板　2種,25,
,,,41,コンクリート,150,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OR1,外壁,,,室内側,,
,,,70,ロックウール化粧吸音板,15,
,,,302,非密閉中空層,,
,,,41,コンクリート,200,
,,,103,アスファルト類,10,
,,,182,押出法ポリスチレンフォーム　保温板　2種,50,
,,,41,コンクリート,80,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OF1,外壁,,,室内側,,
,,,107,カーペット類,5,
,,,302,非密閉中空層,,
,,,41,コンクリート,150,
,,,182,押出法ポリスチレンフォーム　保温板　2種,50,
,,,302,非密閉中空層,,
,,,4,ステンレス綱,0.8,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OW2,外壁,,,室内側,,
,,,62,せっこうボード,12,
,,,302,非密閉中空層,,
,,,182,押出法ポリスチレンフォーム　保温板　2種,25,
,,,2,アルミニウム,1,
,,,302,非密閉中空層,,
,,,66,ガラス,10,
,,,,,,
