様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1F,エントランスホール,北,,,OW1,91.2,WNDW1,76.8,無
,,西,,,OW1,104.9,WNDW1,88.3,無
1F,ロビー,北,,,OW1,107.9,WNDW1,90.9,無
,,西,,,OW1,49.4,,,
1F,管理員詰所,東,,,OW1,14.4,WNDW1,1.5,無
1F,中央管理室,北,,,OW1,22,,,
1F,駐車場管理室,南,,,OW1,19.8,WNDW1,1,無
,,東,,,OW1,4.9,,,
1F,貸室P,西,,,OW2,102.2,WNDW2,26.9,有
,,南,,,OW1,19,,,
2F,貸室P,西,,,OW2,126.2,WNDW2,30.6,有
,,南,,,OW1,33.8,WNDW1,2.1,無
3F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
3F,貸室I,日陰,,,OF1,89,,,
3F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
,,日陰,,,OF1,34,,,
4F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
4F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
5F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
5F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
6F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
6F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
7F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
7F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
8F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
8F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
9F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
9F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
10F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
10F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
11F,EVホール,東,,,OW1,13.7,WNDW1,1.6,無
11F,貸室I,水平,,,OR1,651.64,,,
11F,貸室P,西,,,OW2,215.8,WNDW2,56.8,有
,,北,,,OW2,33.1,WNDW2,8.7,有
,,東,,,OW2,24.3,WNDW2,6.4,有
,,南,,,OW2,33.1,WNDW2,8.7,有
,,水平,,,OR1,117.16,,,
,,,,,,,,,
