様式 2-5. (空調) 熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,蓄熱システム,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格暖房能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,,,,[MJ],,,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[*/台],[kW/台],[kW/台],系統名等）
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CH-1,無,有,蓄熱,18112,空冷ヒートポンプ,1番目,1,5,224.8,71.3,,7.5,,,,1番目,1,45,240,68.6,,7.5,
,,,蓄熱,,空冷ヒートポンプ,2番目,1,5,224.8,71.3,,7.5,,,,2番目,1,45,240,68.6,,7.5,
,,,追掛,,空冷ヒートポンプ,1番目,1,5,224.8,71.3,,7.5,,,,1番目,1,45,240,68.6,,7.5,
,,,追掛,,空冷ヒートポンプ,2番目,1,5,224.8,71.3,,7.5,,,,2番目,1,45,240,68.6,,7.5,
PAC-1-1,無,無,,,ルームエアコン,1番目,1,,5.6,1.15,,,,,,1番目,1,,7.3,1.15,,,
,,,,,,,,,,,,,,,,,,,,,,,
