様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
?,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,?
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,?,?,?,
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換機の有無,全熱交換機定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[?/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[?/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F,1,空調機,72.624,72.624,13072.32,8.1702,,,0.9078,定風量制御,,有,無,有,3026,60,無,0.06052,PC1,PH1,AHP,AHP,
AC2F,1,空調機,110.894,105.287,19936,12.475575,,,1.386175,定風量制御,,有,無,有,7476,60,無,0.0623,PC1,PH1,AHP,AHP,
AC3F,1,空調機,74.76,74.76,13456.8,8.4105,,,0.9345,定風量制御,,有,無,有,3115,60,無,0.0623,PC1,PH1,AHP,AHP,
AC4F,1,空調機,74.76,74.76,13456.8,8.4105,,,0.9345,定風量制御,,有,無,有,3115,60,無,0.0623,PC1,PH1,AHP,AHP,
AC5F,1,空調機,74.76,74.76,13456.8,8.4105,,,0.9345,定風量制御,,有,無,有,3115,60,無,0.0623,PC1,PH1,AHP,AHP,
AC6F,1,空調機,74.76,74.76,13456.8,8.4105,,,0.9345,定風量制御,,有,無,有,3115,60,無,0.0623,PC1,PH1,AHP,AHP,
AC7F,1,空調機,74.76,74.76,13456.8,8.4105,,,0.9345,定風量制御,,有,無,有,3115,60,無,0.0623,PC1,PH1,AHP,AHP,
AC8F,1,空調機,82.1782,81.0271,14786.96,9.2450475,,,1.0272275,定風量制御,,有,無,有,4010.3,60,無,0.0623,PC1,PH1,AHP,AHP,
ACEN,1,空調機,17.3376,20.7648,3124.8,1.95048,,,0.21672,定風量制御,,有,無,有,504,60,無,0.02016,PC1,PH1,AHP,AHP,
OCRS,1,空調機,117.6104,98.876,21180.28,13.23117,,,1.47013,定風量制御,,有,無,有,7806,60,無,0.05204,PC1,PH1,AHP,AHP,
FCU4,1,空調機,1.212,1.356,218.4,0.13635,,,0.01515,定風量制御,,有,無,有,48,60,無,0.0012,PC1,PH1,AHP,AHP,
FCU6,1,空調機,2.2624,2.5312,407.68,0.25452,,,0.02828,定風量制御,,有,無,有,89.6,60,無,0.00224,PC1,PH1,AHP,AHP,
FCU8,9,空調機,3.2164,3.8522,579.7,0.361845,,,0.040205,定風量制御,,有,無,有,93.5,60,無,0.00374,PC1,PH1,AHP,AHP,
ACCI,1,空調機,11.56,9.605,2082.5,1.3005,,,0.1445,定風量制御,,有,無,有,340,60,無,0.0085,PC1,PH1,AHP,AHP,
ACSI,1,空調機,2.2321,2.4973,402.22,0.25111125,,,0.02790125,定風量制御,,有,無,有,88.4,60,無,0.00221,PC1,PH1,AHP,AHP,
ACKI,1,空調機,2.4208,2.0114,436.1,0.27234,,,0.03026,定風量制御,,有,無,有,71.2,60,無,0.00178,PC1,PH1,AHP,AHP,
