様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
B1F,書庫,事務所等,更衣室,22.1,排気,FE-1
B1F,更衣室,事務所等,更衣室,12,排気,FE-2
B1F,受水槽室,事務所等,機械室,91.2,給気,FS-1
,,,,,排気,FE-3
B1F,機械室,事務所等,機械室,238.5,給気,FS-2
,,,,,排気,FE-4
B1F,発電機室,事務所等,電気室,70.2,給気,FS-3
,,,,,排気,FE-5
B1F,電気室,事務所等,電気室,79.8,給気,FS-4
,,,,,排気,FE-6
B1F,MDF室,事務所等,電気室,21.8,給気,FS-5
,,,,,排気,FE-7
B1F,倉庫1,事務所等,更衣室,16.2,排気,FE-8
B1F,倉庫2,事務所等,更衣室,45.2,排気,FE-9
B1F,便所,事務所等,便所,7.8,排気,FE-10
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,排気,FE-11
B1F,シャワー室,事務所等,湯沸室等,8.4,排気,FE-12
B1F,消火ポンプ室,事務所等,機械室,15,給気,FS-6
,,,,,排気,FE-13
B1F,倉庫3,事務所等,更衣室,9.4,排気,FE-14
1F,多目的便所,事務所等,便所,4,排気,FE-17
1F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-18
1F,倉庫2,事務所等,更衣室,6.6,排気,FE-19
1F,男子便所,事務所等,便所,16.2,排気,FE-20
1F,女子便所,事務所等,便所,16.2,排気,FE-21
2F,多目的便所,事務所等,便所,4,排気,FE-22
2F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-23
2F,倉庫2,事務所等,更衣室,6.6,排気,FE-24
2F,男子便所,事務所等,便所,16.2,排気,FE-25
2F,女子便所,事務所等,便所,16.2,排気,FE-26
3F,多目的便所,事務所等,便所,4,排気,FE-27
3F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-28
3F,倉庫2,事務所等,更衣室,6.6,排気,FE-29
3F,男子便所,事務所等,便所,16.2,排気,FE-30
3F,女子便所,事務所等,便所,16.2,排気,FE-31
4F,多目的便所,事務所等,便所,4,排気,FE-32
4F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-33
4F,倉庫2,事務所等,更衣室,6.6,排気,FE-34
4F,男子便所,事務所等,便所,16.2,排気,FE-35
4F,女子便所,事務所等,便所,16.2,排気,FE-36
5F,多目的便所,事務所等,便所,4,排気,FE-37
5F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-38
5F,倉庫2,事務所等,更衣室,6.6,排気,FE-39
5F,男子便所,事務所等,便所,16.2,排気,FE-40
5F,女子便所,事務所等,便所,16.2,排気,FE-41
6F,多目的便所,事務所等,便所,4,排気,FE-42
6F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-43
6F,倉庫2,事務所等,更衣室,6.6,排気,FE-44
6F,男子便所,事務所等,便所,16.2,排気,FE-45
6F,女子便所,事務所等,便所,16.2,排気,FE-46
7F,多目的便所,事務所等,便所,4,排気,FE-47
7F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-48
7F,倉庫2,事務所等,更衣室,6.6,排気,FE-49
7F,男子便所,事務所等,便所,16.2,排気,FE-50
7F,女子便所,事務所等,便所,16.2,排気,FE-51
8F,多目的便所,事務所等,便所,4,排気,FE-52
8F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-53
8F,倉庫2,事務所等,更衣室,6.6,排気,FE-54
8F,男子便所,事務所等,便所,16.2,排気,FE-56
8F,女子便所,事務所等,便所,16.2,排気,FE-57
9F,厨房,事務所等,厨房,102.6,給気,FS-7
,,,,,排気,FE-55
9F,多目的便所,事務所等,便所,4,排気,FE-58
9F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-59
9F,倉庫2,事務所等,更衣室,6.6,排気,FE-60
9F,男子便所,事務所等,便所,16.2,排気,FE-15
9F,女子便所,事務所等,便所,16.2,排気,FE-16
PHF,EV機械室,事務所等,電気室,48,給気,FS-8
,,,,,排気,FE-61
PHF,非常用EV機械室,事務所等,電気室,28.8,給気,FS-9
,,,,,排気,FE-62
,,,,,,
