様式 4-2. (給湯)給湯機器入力シート,,,,,,,,
,,,,,,,,
,,,,,,,,
①,②,③,④,⑤,太陽熱利用,,,⑨
,,,,,⑥,⑦,⑧,
給湯機器名称,定格加熱能力,定格熱源効率,配管保温仕様,接続口径,有効集熱面積,集熱面の方位角,集熱面の傾斜角,備考
,,,,,,,,
,[kW],[-],,[mm],[㎡],[°],[°],
,,,(選択),,,,,
,,,,,,,,
EH3-B1F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH4-B1F,10,0.6666666,保温仕様１,0,,,,電気給湯器（B1F　シャワー室）
EH1-1F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-1F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-1F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-2F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-2F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-2F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-3F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-3F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-3F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-4F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-4F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-4F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-5F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-5F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-5F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-6F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-6F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-6F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-7F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-7F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-7F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-8F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-8F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-8F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH1-9F,1.5,0.6666666,保温仕様１,0,,,,電気給湯器(女子便所）
EH2-9F,1.1,0.6666666,保温仕様１,0,,,,電気給湯器(男子便所）
EH3-9F,3,0.6666666,保温仕様１,0,,,,電気給湯器(湯沸コーナー)
EH5-9F,40,0.6666666,保温仕様１,0,,,,ガスボイラー(厨房）
