様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,6.8,12.5,,,,1164.5,1,,,,,,
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,5.2,4.3,,,,147.84,1,,,,,,
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,3.3,6.7,,,,145.86,1,,,,,,
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,,,0.854700855,,,79.2,1,,,,,,
B1F,受水槽室,事務所等,機械室,91.2,5.5,5.5,9.4,9.7,,,,446.88,1,,,,,,
B1F,機械室,事務所等,機械室,238.5,5.5,5.5,,,0.917562724,,,1168.65,1,,,,,,
B1F,発電機室,事務所等,電気室,70.2,5.5,5.5,12.1,5.8,,,,343.98,1,,,,,,
B1F,電気室,事務所等,電気室,79.8,5.5,5.5,8.4,9.5,,,,391.02,1,,,,,,
B1F,MDF室,事務所等,電気室,21.8,5.5,5.5,2.6,8.4,,,,106.82,1,,,,,,
B1F,廊下,事務所等,廊下,80.9,5.5,2.4,,,0.75074239,,,647.2,1,,,,,,
B1F,階段室Ｎ,事務所等,廊下,22.4,5.5,5.5,3.2,7,,,,179.2,1,,,,,,
B1F,乗降ロビー,事務所等,ロビー,11.2,5.5,2.4,2.6,4.3,,,,123.2,1,,,,,,
B1F,DS,事務所等,機械室,7,5.5,5.5,1,7,,,,34.3,1,,,,,,
B1F,PS1,事務所等,機械室,3.4,5.5,5.5,1.2,2.8,,,,16.66,1,,,,,,
B1F,倉庫1,事務所等,更衣室,16.2,5.5,5.5,2.8,5.8,,,,106.92,1,,,,,,
B1F,倉庫2,事務所等,更衣室,45.2,5.5,5.5,,,0.398940865,,,298.32,1,,,,,,
B1F,PS2,事務所等,機械室,3.4,5.5,5.5,1.2,2.8,,,,16.66,1,,,,,,
B1F,便所,事務所等,便所,7.8,5.5,2.4,2.8,2.8,,,,93.6,1,,,,,,
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,5.5,2.4,2.4,3.2,,,,56.98,1,,,,,,
B1F,シャワー室,事務所等,湯沸室等,8.4,5.5,2.4,3,2.8,,,,62.16,1,,,,,,
B1F,消火ポンプ室,事務所等,機械室,15,5.5,5.5,3.6,4.4,,,,73.5,1,,,,,,
B1F,倉庫3,事務所等,更衣室,9.4,5.5,5.5,2.6,3.6,,,,62.04,1,,,,,,
B1F,階段室S,事務所等,廊下,22.4,5.5,5.5,3.2,7,,,,179.2,1,,,,,,
1F,1F事務室,事務所等,事務室,605.2,4,2.6,,,5.323867596,,,9864.76,1,,,,,,
1F,警備員室,事務所等,中央監視室,17.8,4,2.6,3.3,5.4,,,,243.86,1,,,,,,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,9,22.4,,,,2217.6,1,,,,,,
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.2,,,,411.4,1,,,,,,
1F,廊下,事務所等,廊下,88.6,4,2.4,,,0.696451204,,,708.8,1,,,,,,
1F,階段室Ｎ,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
1F,乗降ロビー,事務所等,ロビー,11.2,4,2.4,2.6,4.3,,,,123.2,1,,,,,,
1F,DS,事務所等,機械室,7,4,4,1,7,,,,34.3,1,,,,,,
1F,機械室1,事務所等,機械室,22.4,4,4,3.2,7,,,,109.76,1,,,,,,
1F,PS1,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
1F,男子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
1F,EPS,事務所等,電気室,6.1,4,4,6.1,1,,,,29.89,1,,,,,,
1F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9,1,,,,9.31,1,,,,,,
1F,PS2,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
1F,女子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
1F,多目的便所,事務所等,便所,4,4,2.4,2,2,,,,48,1,,,,,,
1F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2,3.2,,,,51.8,1,,,,,,
1F,倉庫2,事務所等,更衣室,6.6,4,2.4,,,0.318269231,,,43.56,1,,,,,,
1F,機械室2,事務所等,機械室,25.2,4,4,3.6,7,,,,123.48,1,,,,,,
1F,階段室S,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
1F,風除室,事務所等,廊下,15.4,4,3,4.4,3.5,,,,123.2,1,,,,,,
2F,2F会議室,事務所等,会議室,623,4,2.6,37,17,,,,6790.7,1,,,,,,
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.4,,,,411.4,1,,,,,,
2F,廊下,事務所等,廊下,88.6,4,2.4,,,0.696451204,,,708.8,1,,,,,,
2F,階段室N,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
2F,乗降ロビー,事務所等,ロビー,11.2,4,2.4,2.6,4.3,,,,123.2,1,,,,,,
2F,DS,事務所等,機械室,7,4,4,1,7,,,,34.3,1,,,,,,
2F,機械室1,事務所等,機械室,22.4,4,3.8,3.2,7,,,,109.76,1,,,,,,
2F,PS1,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
2F,男子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
2F,EPS,事務所等,電気室,6.1,4,4,6.1,1,,,,29.89,1,,,,,,
2F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9,1,,,,9.31,1,,,,,,
2F,PS2,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
2F,女子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
2F,多目的便所,事務所等,便所,4,4,2.4,2,2,,,,48,1,,,,,,
2F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2,3.2,,,,51.8,1,,,,,,
2F,倉庫2,事務所等,更衣室,6.6,4,2.4,,,0.318269231,,,43.56,1,,,,,,
2F,機械室2,事務所等,機械室,25.2,4,4,3.6,7,,,,123.48,1,,,,,,
2F,階段室S,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
3F,3F事務室,事務所等,事務室,623,4,2.6,37,17,,,,10154.9,1,,,,,,
3F,3FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.4,,,,411.4,1,,,,,,
3F,廊下,事務所等,廊下,88.6,4,2.4,,,0.696451204,,,708.8,1,,,,,,
3F,階段室N,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
3F,乗降ロビー,事務所等,ロビー,11.2,4,2.4,2.6,4.3,,,,123.2,1,,,,,,
3F,DS,事務所等,機械室,7,4,4,1,7,,,,34.3,1,,,,,,
3F,機械室1,事務所等,機械室,22.4,4,4,3.2,7,,,,109.76,1,,,,,,
3F,PS1,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
3F,男子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
3F,EPS,事務所等,電気室,6.1,4,4,6.1,1,,,,29.89,1,,,,,,
3F,アラーム弁室,事務所等,機械室,1.9,4,4,1.9,1,,,,9.31,1,,,,,,
3F,PS2,事務所等,機械室,3.4,4,4,1.2,2.8,,,,16.66,1,,,,,,
3F,女子便所,事務所等,便所,16.2,4,2.4,2.8,5.8,,,,194.4,1,,,,,,
3F,多目的便所,事務所等,便所,4,4,2.4,2,2,,,,48,1,,,,,,
3F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,2.2,3.2,,,,51.8,1,,,,,,
3F,倉庫2,事務所等,更衣室,6.6,4,2.4,,,0.318269231,,,43.56,1,,,,,,
3F,機械室2,事務所等,機械室,25.2,4,4,3.6,7,,,,123.48,1,,,,,,
3F,階段室S,事務所等,廊下,22.4,4,4,3.2,7,,,,179.2,1,,,,,,
4F,4F事務室,事務所等,事務室,623,4,2.6,37,17,,,,10154.9,1,,,,,,
4F,4FEVホール,事務所等,ロビー,37.4,4,2.4,11,3.4,,,,411.4,1,,,,,,
