様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,中央監視室,東,,,OW1,37.4,WNDW1,11.2,有
,,日陰,,,SBW1,68.8,,,
B1F,清掃員控室,日陰,,,SBW1,23.7,,,
B1F,書庫,日陰,,,SBW1,18.2,,,
B1F,更衣室,日陰,,,SBW1,12.1,,,
1F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,46.4,WNDW1,13.9,有
1F,警備員室,南,,,OW1,21.6,WNDW1,6.5,有
1F,エントランスホール,北,,,OW1,72,WNDW1,21.6,有
,,南,,,OW1,72,WNDW1,21.6,有
,,西,,,OW1,179.2,WNDW1,53.8,有
2F,会議室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
3F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
3F,EVホール,西,,,OW1,44,WNDW1,13.2,有
4F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
4F,EVホール,西,,,OW1,44,WNDW1,16.4,有
5F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
5F,EVホール,西,,,OW1,44,WNDW1,13.2,有
6F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
6F,EVホール,西,,,OW1,44,WNDW1,13.2,有
7F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
7F,EVホール,西,,,OW1,44,WNDW1,13.2,有
8F,事務室,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,117.2,WNDW1,35.2,有
8F,セミナールーム,南,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,30.8,WNDW1,9.2,有
8F,EVホール,西,,,OW1,44,WNDW1,13.2,有
9F,食堂,北,,,OW1,68,WNDW1,20.4,有
,,東,,,OW1,148,WNDW1,44.4,有
,,南,,,OW1,68,WNDW1,20.4,有
,,水平,,,OR1,520.4,,,
9F,EVホール,西,,,OW1,44,WNDW1,13.2,有
,,水平,,,OR1,37.4,,,
