様式 4-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
階,室名,建物用途,室用途,室面積,給気／排気,機器名称
,,,,,,
,,,,[㎡],,(選択)
(転記),(転記),(転記),(転記),(転記),(任意),(必須)
B1F,電気室,Office,電気・機械室（高発熱）,79.8,給気,FS-ER-BF
,,,,,排気,FE-ER-BF
,,,,,,ACP-ER-BF-1
,,,,,,ACP-ER-BF-2
B1F,発電機室,Office,電気・機械室（標準）,70.2,給気,FS-GE-BF
,,,,,排気,FE-GE-BF
B1F,機械室,Office,電気・機械室（標準）,238.5,給気,FS-MR-BF
,,,,,排気,FE-MR-BF
B1F,受水槽室,Office,電気・機械室（標準）,91.2,給気,FS-MR-BF
,,,,,排気,FE-MR-BF
B1F,MDF室,Office,電気・機械室（高発熱）,21.8,給気,FS-MDF-BF
,,,,,排気,FE-MDF-BF
,,,,,,ACP-MDF-BF
B1F,消火ﾎﾟﾝﾌﾟ室,Office,電気・機械室（標準）,15,給気,FS-FP-BF
,,,,,排気,FE-FP-BF
PHF,非常用EV機械室,Office,電気・機械室（標準）,28.8,給気,FS-EV2-RF
,,,,,排気,FE-EV2-RF
PHF,EV機械室,Office,電気・機械室（標準）,48,給気,FS-EV1-RF
,,,,,排気,FE-EV1-RF
9F,厨房,Office,厨房,102.6,給気,OAC-RS-9F
,,,,,給気,ACP-KT-9F
,,,,,排気,FE-RT-9F
1F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
2F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
3F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
4F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
5F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
6F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
7F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
8F,男子便所,Office,トイレ,16.2,排気,FE-WC1-1･･8F
1F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
2F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
3F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
4F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
5F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
6F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
7F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
8F,女子便所,Office,トイレ,16.2,排気,FE-WC2-1･･8F
1F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
2F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
3F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
4F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
5F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
6F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
7F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
8F,多目的便所,Office,トイレ,4,排気,FE-WC2-1･･8F
1F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
2F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
3F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
4F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
5F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
6F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
7F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
8F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-1･･8F
1F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
2F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
3F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
4F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
5F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
6F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
7F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
8F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-1･･8F
9F,男子便所,Office,トイレ,16.2,排気,FE-WC1-9F
9F,女子便所,Office,トイレ,16.2,排気,FE-WC2-9F
9F,湯沸ｺｰﾅｰ,Office,湯沸室等,7,排気,FE-HW-9F
9F,倉庫2,Office,更衣室等,6.6,排気,FE-ST-9F
B1F,倉庫1,Office,更衣室等,16.2,排気,FE-ST1-BF
B1F,倉庫2,Office,更衣室等,45.2,排気,FE-ST1-BF
B1F,書庫,Office,更衣室等,22.1,排気,FE-ST2-BF
B1F,倉庫3,Office,更衣室等,9.4,排気,FE-ST3-BF
B1F,便所,Office,トイレ,7.8,排気,FE-WC-BF
B1F,ｼｬﾜｰ室,Office,湯沸室等,8.4,排気,FE-SW-BF
B1F,湯沸ｺｰﾅｰ,Office,湯沸室等,7.7,排気,FE-SW-BF
B1F,更衣室,Office,更衣室等,12,排気,FE-LC-BF
