４　換気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1　給排気送風機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,風量,"電動機
(出力)",制御による補正値,,,,,対象室選択,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,種類,,,高効率電動機の採用,インバータの採用,送風量制御の採用,,台数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名,階,室名
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,あり,あり,CO2濃度制御,温度センサーによる制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[m3/h],[kW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-ER-BF,給気,2190,0.75,,,,,1,B1F,電気室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-GE-BF,給気,1650,0.75,,,,■,1,B1F,発電機室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-MR-BF,給気,3110,1.5,,,,,1,B1F,機械室,B1F,受水槽室,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-MDF-BF,給気,650,0.4,,,,,1,B1F,MDF室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-FP-BF,給気,430,0.1,,,,,1,B1F,消火ﾎﾟﾝﾌﾟ室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-EV2-RF,給気,2100,1.5,,,,,1,PHF,非常用EV機械室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-EV1-RF,給気,6200,1.5,,,,■,1,PHF,EV機械室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAC-RS-9F,給気,11400,11,,,,■,1,9F,厨房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP-KT-9F,給気,1920,0.16,,■,,,1,9F,厨房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-1-1･･8F,排気,3000,0.75,,,,,8,1F,1F事務室,2F,2F会議室,3F,3F事務室,4F,4F事務室,5F,5F事務室,6F,6F事務室,7F,7F事務室,8F,8F事務室,,,,,,,,,,,,,,,,
FE-2-1･･8F,排気,1600,0.75,,,,,8,1F,1F事務室,2F,2F会議室,3F,3F事務室,4F,4F事務室,5F,5F事務室,6F,6F事務室,7F,7F事務室,8F,8F事務室,,,,,,,,,,,,,,,,
FE-WC1-1･･8F,排気,580,0.1,,,,■,8,1F,男子便所,2F,男子便所,3F,男子便所,4F,男子便所,5F,男子便所,6F,男子便所,7F,男子便所,8F,男子便所,,,,,,,,,,,,,,,,
FE-WC2-1･･8F,排気,680,0.1,,,,■,8,1F,女子便所,2F,女子便所,3F,女子便所,4F,女子便所,5F,女子便所,6F,女子便所,7F,女子便所,8F,女子便所,1F,多目的便所,2F,多目的便所,3F,多目的便所,4F,多目的便所,5F,多目的便所,6F,多目的便所,7F,多目的便所,8F,多目的便所
FE-HW-1･･8F,排気,60,0.05,,,,■,8,1F,湯沸ｺｰﾅｰ,2F,湯沸ｺｰﾅｰ,3F,湯沸ｺｰﾅｰ,4F,湯沸ｺｰﾅｰ,5F,湯沸ｺｰﾅｰ,6F,湯沸ｺｰﾅｰ,7F,湯沸ｺｰﾅｰ,8F,湯沸ｺｰﾅｰ,,,,,,,,,,,,,,,,
FE-ST-1･･8F,排気,60,0.05,,,,,8,1F,倉庫2,2F,倉庫2,3F,倉庫2,4F,倉庫2,5F,倉庫2,6F,倉庫2,7F,倉庫2,8F,倉庫2,,,,,,,,,,,,,,,,
