２　空調,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1　外皮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,外皮1,,,,,,,,外皮2,,,,,,,,外皮3,,,,,,,,外皮4,,,,,,,,外皮5,,,,,,,
,,,,,,,外壁1(窓面積含む）,,,窓1,,,,,外壁2(窓面積含む）,,,窓2,,,,,外壁3(窓面積含む）,,,窓3,,,,,外壁4(窓面積含む）,,,窓4,,,,,外壁5(窓面積含む）,,,窓5,,
階,空調ゾーン名,階高,天井高,室面積,方位,庇,壁,長さ,面積,窓,面積,VB,方位,庇,壁,長さ,面積,窓,面積,VB,方位,庇,壁,長さ,面積,窓,面積,VB,方位,庇,壁,長さ,面積,窓,面積,VB,方位,庇,壁,長さ,面積,窓,面積,VB
,,,,,,,タイプ,,(窓含),タイプ,,,,,タイプ,,(窓含),タイプ,,,,,タイプ,,(窓含),タイプ,,,,,タイプ,,(窓含),タイプ,,,,,タイプ,,(窓含),タイプ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1F,中央監視室,5.5,4.8,85,東,,OW1,6.8,37.4,WNDW1,9.54,明色,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,12.5,68.75,,,
B1F,清掃員控室,5.5,2.6,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,4.3,23.65,,,
B1F,書庫,5.5,2.6,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,3.3,18.15,,,
B1F,更衣室,5.5,2.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地中,,SBW1,2.2,12.1,,,
1F,1F事務室,4,2.6,605.2,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,11.6,46.4,WNDW1,8.1,明色,,,,,,,,,,,,,,,,
1F,警備員室,4,2.6,17.8,南,,OW1,5.4,21.6,WNDW1,8.1,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,8,6.4,201.6,北,,OW1,9,72,WNDW1,52.48,明色,南,,OW1,9,72,WNDW1,39.28,明色,西,,OW1,22.4,179.2,WNDW1,52.48,明色,,,,,,,,,,,,,,,,
1F,1FEVﾎｰﾙ,4,2.4,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,2F会議室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
2F,2FEVﾎｰﾙ,4,2.4,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,3F事務室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
3F,3FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F,4F事務室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
4F,4FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5F,5F事務室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
5F,5FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6F,6F事務室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
6F,6FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7F,7F事務室,4,2.6,623,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,,,,,,,,
7F,7FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8F,8F事務室,4,2.6,495.1,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,29.3,117.2,WNDW1,45.36,明色,,,,,,,,,,,,,,,,,,,,,,,,
8F,セミナールーム,4,2.6,127.9,南,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,7.7,30.8,WNDW1,11.34,明色,,,,,,,,,,,,,,,,,,,,,,,,
8F,8FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9F,9F食堂,4,2.6,520.4,北,,OW1,17,68,WNDW1,16.2,明色,東,,OW1,37,148,WNDW1,56.7,明色,南,,OW1,17,68,WNDW1,16.2,明色,,,,,,,,,屋根,,OR1,,520.4,,,
9F,9FEVﾎｰﾙ,4,2.4,37.4,西,,OW1,11,44,WNDW1,16.38,無,,,,,,,,,,,,,,,,,,,,,,,,,屋根,,OR1,,37.4,,,
