２　空調,,,,,,,,,,,,,,,,,,,,,,,,
2-4　空調機類,,,,,,,,,,,,,,,,,,,,,,,,
（仮想）,機器表の記号,系統名,台数,空調機タイプ,冷却(冷房)能力,加熱(暖房)能力,給気送風機,電動機消費電力（送風機）,,,,風量制御,VAV,外気ｶｯﾄ,外気冷房,全熱交換ユニット,,,,,ポンプ群名称,,熱源群名称,
空調機,,,,,,,風量,給気,還気,外気,排気,,"最小
風量比",有無,有無,有無,処理風量,熱交換効率,バイパス,ロータ,,,,
名称,,,,,,,,,,,,,,,,,,,制御,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,,,,,,,,,,,,,,,,冷房,暖房,冷房,暖房
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,[kW/台],[kW/台],[m3/h・台],[kW/台],[kW/台],[kW/台],[kW/台],,[%],,,,[m3/h・台],［％］,,[kW/台],,,,
AC1F,AC-1-1,1階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC1F,AC-2-1,1階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC1F,AC-P-1,1階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC2F,AC-1-2,2階会議室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC2F,AC-2-2,2階会議室,1,空調機,37.2,13.2,4100,7.5,5.5,,,VAV,30,有,有,有,3750,70,有,0,PCH2,PCH2,AHP,AHP
AC2F,AC-P-2,2階会議室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-1-3,3階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-2-3,3階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC3F,AC-P-3,3階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-1-4,4階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-2-4,4階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC4F,AC-P-4,4階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-1-5,5階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-2-5,5階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC5F,AC-P-5,5階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-1-6,6階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-2-6,6階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC6F,AC-P-6,6階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-1-7,7階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-2-7,7階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC7F,AC-P-7,7階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-1-8,8階事務室,1,空調機,49.1,19.5,7500,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-2-8,8階事務室,1,空調機,33,13.4,5000,7.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
AC8F,AC-P-8,8階事務室,1,空調機,13.7,11.3,4000,5.5,,,,VAV,30,有,有,無,,,,,PCH2,PCH2,AHP,AHP
ACEN,AC-EN-1F,1階ｴﾝﾄﾗﾝｽﾎｰﾙ,1,空調機,36.2,36.8,8200,7.5,,,,VAV,30,有,無,無,,,,,PCH2,PCH2,AHP,AHP
OCRS,OAC-RS-9F,9階食堂,1,空調機,83.3,67.2,5760,7.5,,,,VAV,30,無,無,無,,,,,PCH2,PCH2,AHP,AHP
FCU4,FCU-4CK2,B1F　更衣室,1,ＦＣＵ,2.1,2.89,640,0.08,,,,CAV,,無,無,無,,,,,PCH2,PCH2,AHP,AHP
