様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,5.5,4.8,B1F,中央監視室,ACCI,ACCI,
B1F,清掃員控室,事務所等,更衣室・倉庫,22.4,5.5,2.6,B1F,清掃員控室,FCU6,FCU6,
B1F,書庫,事務所等,更衣室・倉庫,22.1,5.5,2.6,B1F,書庫,ACSI,ACSI,
B1F,更衣室,事務所等,更衣室・倉庫,12,5.5,2.6,B1F,更衣室,FCU4,FCU4,
1F,1F事務室,事務所等,事務室,605.2,4,2.6,1F,1F事務室,AC1F,AC1F,
1F,警備員室,事務所等,中央監視室,17.8,4,2.6,1F,警備員室,ACKI,ACKI,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,1F,エントランスホール,ACEN,ACEN,
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,1F,1FEVホール,FCU8,FCU8,
2F,2F会議室,事務所等,会議室,623,4,2.6,2F,2F会議室,AC2F,AC2F,
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,2F,2FEVホール,FCU8,FCU8,
3F,3F事務室,事務所等,事務室,623,4,2.6,3F,3F事務室,AC3F,AC3F,
3F,3FEVホール,事務所等,ロビー,37.4,4,2.4,3F,3FEVホール,FCU8,FCU8,
4F,4F事務室,事務所等,事務室,623,4,2.6,4F,4F事務室,AC4F,AC4F,
4F,4FEVホール,事務所等,ロビー,37.4,4,2.4,4F,4FEVホール,FCU8,FCU8,
5F,5F事務室,事務所等,事務室,623,4,2.6,5F,5F事務室,AC5F,AC5F,
5F,5FEVホール,事務所等,ロビー,37.4,4,2.4,5F,5FEVホール,FCU8,FCU8,
6F,6F事務室,事務所等,事務室,623,4,2.6,6F,6F事務室,AC6F,AC6F,
6F,6FEVホール,事務所等,ロビー,37.4,4,2.4,6F,6FEVホール,FCU8,FCU8,
7F,7F事務室,事務所等,事務室,623,4,2.6,7F,7F事務室,AC7F,AC7F,
7F,7FEVホール,事務所等,ロビー,37.4,4,2.4,7F,7FEVホール,FCU8,FCU8,
8F,8F事務室,事務所等,事務室,495.1,4,2.6,8F,8F事務室,AC8F,AC8F,
8F,セミナールーム,事務所等,会議室,127.9,4,2.6,8F,セミナールーム,AC8F,AC8F,
8F,8FEVホール,事務所等,ロビー,37.4,4,2.4,8F,8FEVホール,FCU8,FCU8,
9F,9F食堂,事務所等,社員食堂,520.4,4,2.6,9F,9F食堂,OCRS,FCU8,
9F,9FEVホール,事務所等,ロビー,37.4,4,2.4,9F,9FEVホール,FCU8,FCU8,
,,,,,,,,,,,
