様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
B1F,中央監視室,東,0.78,0.77,OW1,37.4,WNDW1,20.57,有
,,地中,,,SBW1,68.8,,,
B1F,清掃員控室,地中,,,SBW1,23.7,,,
B1F,書庫,地中,,,SBW1,18.2,,,
B1F,更衣室,地中,,,SBW1,12.1,,,
1F,1F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,46.4,WNDW1,25.52,有
1F,警備員室,南,0.55,0.7,OW1,21.6,WNDW1,11.88,有
1F,エントランスホール,北,0.79,0.78,OW1,72,WNDW1,39.6,有
,,南,0.81,0.66,OW1,72,WNDW1,39.6,有
,,西,0.77,0.77,OW1,179.2,WNDW1,98.56,有
2F,2F会議室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
3F,3F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
3F,3FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
4F,4F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
4F,4FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
5F,5F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
5F,5FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
6F,6F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
6F,6FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
7F,7F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
7F,7FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
8F,8F事務室,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,117.2,WNDW1,64.46,有
8F,セミナールーム,南,0.81,0.66,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,30.8,WNDW1,16.94,有
8F,8FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
9F,9F食堂,北,0.79,0.78,OW1,68,WNDW1,37.4,有
,,東,0.78,0.77,OW1,148,WNDW1,81.4,有
,,南,0.81,0.66,OW1,68,WNDW1,37.4,有
,,水平,,,OR1,520.4,,,
9F,9FEVホール,西,0.77,0.77,OW1,44,WNDW1,24.2,有
,,水平,,,OR1,37.4,,,
,,,,,,,,,
