様式 3-1. (換気)換気対象室入力シート,,,,,,
,,,,,,
,,,,,,
①,①,①,①,①,②,③
,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称
,,,,,,
,,,,[㎡],(給気/排気/循環/空調),
(転記),(転記),(転記),(転記),(転記),(選択),(転記)
,,,,,,
B1F,書庫,事務所等,更衣室・倉庫,22.1,排気,FE-ST2-BF
B1F,更衣室,事務所等,更衣室・倉庫,12,排気,FE-LC-BF
B1F,受水槽室,事務所等,機械室,91.2,給気,FS-MR-BF
B1F,機械室,事務所等,機械室,238.5,給気,FS-MR-BF
B1F,発電機室,事務所等,電気室,70.2,給気,FS-GE-BF
B1F,電気室,事務所等,電気室,79.8,給気,FS-ER-BF
,,,,,給気,ACP-ER-BF-1
B1F,MDF室,事務所等,電気室,21.8,排気,FS-MDF-BF
B1F,倉庫1,事務所等,更衣室・倉庫,16.2,排気,FE-ST1-BF
B1F,倉庫2,事務所等,更衣室・倉庫,45.2,排気,FE-ST1-BF
B1F,便所,事務所等,便所,7.8,排気,FE-WC-BF
B1F,湯沸コーナー,事務所等,湯沸室等,7.7,排気,FE-SW-BF
B1F,シャワー室,事務所等,湯沸室等,8.4,排気,FE-SW-BF
B1F,消火ポンプ室,事務所等,機械室,15,給気,FS-FP-BF
B1F,倉庫3,事務所等,更衣室・倉庫,9.4,排気,FE-ST3-BF
1F,男子便所,事務所等,便所,16.2,排気,FE-WC1-1F
1F,女子便所,事務所等,便所,16.2,排気,FE-WC2-1F
1F,多目的便所,事務所等,便所,4,排気,FE-WC2-1F
1F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-1F
1F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-1F
2F,男子便所,事務所等,便所,16.2,排気,FE-WC1-2F
2F,女子便所,事務所等,便所,16.2,排気,FE-WC2-2F
2F,多目的便所,事務所等,便所,4,排気,FE-WC2-2F
2F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-2F
2F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-2F
3F,男子便所,事務所等,便所,16.2,排気,FE-WC1-3F
3F,女子便所,事務所等,便所,16.2,排気,FE-WC2-3F
3F,多目的便所,事務所等,便所,4,排気,FE-WC2-3F
3F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-3F
3F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-3F
4F,男子便所,事務所等,便所,16.2,排気,FE-WC1-4F
4F,女子便所,事務所等,便所,16.2,排気,FE-WC2-4F
4F,多目的便所,事務所等,便所,4,排気,FE-WC2-4F
4F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-4F
4F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-4F
5F,男子便所,事務所等,便所,16.2,排気,FE-WC1-5F
5F,女子便所,事務所等,便所,16.2,排気,FE-WC2-5F
5F,多目的便所,事務所等,便所,4,排気,FE-WC2-5F
5F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-5F
5F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-5F
6F,男子便所,事務所等,便所,16.2,排気,FE-WC1-6F
6F,女子便所,事務所等,便所,16.2,排気,FE-WC2-6F
6F,多目的便所,事務所等,便所,4,排気,FE-WC2-6F
6F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-6F
6F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-6F
7F,男子便所,事務所等,便所,16.2,排気,FE-WC1-7F
7F,女子便所,事務所等,便所,16.2,排気,FE-WC2-7F
7F,多目的便所,事務所等,便所,4,排気,FE-WC2-7F
7F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-7F
7F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-7F
8F,男子便所,事務所等,便所,16.2,排気,FE-WC1-8F
8F,女子便所,事務所等,便所,16.2,排気,FE-WC2-8F
8F,多目的便所,事務所等,便所,4,排気,FE-WC2-8F
8F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-8F
8F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-8F
9F,厨房,事務所等,厨房,102.6,給気,OAC-KT-9F
,,,,,排気,FE-KT-9F
9F,男子便所,事務所等,便所,16.2,排気,FE-WC1-9F
9F,女子便所,事務所等,便所,16.2,排気,FE-WC2-9F
9F,多目的便所,事務所等,便所,4,排気,FE-WC2-9F
9F,湯沸コーナー,事務所等,湯沸室等,7,排気,FE-HW-9F
9F,倉庫2,事務所等,更衣室・倉庫,6.6,排気,FE-ST-9F
PHF,EV機械室,事務所等,電気室,48,給気,FS-EV1-RF
PHF,非常用EV機械室,事務所等,電気室,28.8,給気,FS-EV2-RF
,,,,,,
