様式 3-2. (換気)給排気送風機入力シート,,,,,
,,,,,
,,,,,
①,②,③,制御による補正,,
,,,④,⑤,⑥
換気機器名称,定格風量,電動機定格消費電力,高効率電動機の有無,インバータの有無,送風量制御
,,,,,
,[m3/h],[kW],,,
,,,(選択）,(選択）,(選択）
,,,,,
FS-ER-BF,2190,0.75,有,有,温度制御
FS-GE-BF,1650,0.75,有,,
FS-MR-BF,3110,1.5,有,,
FS-MDF-BF,650,0.4,有,有,温度制御
FS-FP-BF,430,0.1,有,,
FS-EV2-RF,2100,0.75,有,有,温度制御
FS-EV1-RF,6200,1.5,有,有,温度制御
OAC-KT-9F,11400,3.7,有,有,
ACP-KT-9F,1920,0.3,有,有,
FE-WC1-1F,580,0.1,有,,
FE-WC2-1F,680,0.125,有,,
FE-HW-1F,60,0.025,有,,
FE-ST-1F,60,0.025,有,,
FE-WC1-2F,580,0.1,有,,
FE-WC2-2F,680,0.125,有,,
FE-HW-2F,60,0.025,有,,
FE-ST-2F,60,0.025,有,,
FE-WC1-3F,580,0.1,有,,
FE-WC2-3F,680,0.125,有,,
FE-HW-3F,60,0.025,有,,
FE-ST-3F,60,0.025,有,,
FE-WC1-4F,580,0.1,有,,
FE-WC2-4F,680,0.125,有,,
FE-HW-4F,60,0.025,有,,
FE-ST-4F,60,0.025,有,,
FE-WC1-5F,580,0.1,有,,
FE-WC2-5F,680,0.125,有,,
FE-HW-5F,60,0.025,有,,
FE-ST-5F,60,0.025,有,,
FE-WC1-6F,580,0.1,有,,
FE-WC2-6F,680,0.125,有,,
FE-HW-6F,60,0.025,有,,
FE-ST-6F,60,0.025,有,,
FE-WC1-7F,580,0.1,有,,
FE-WC2-7F,680,0.125,有,,
FE-HW-7F,60,0.025,有,,
FE-ST-7F,60,0.025,有,,
FE-WC1-8F,580,0.1,有,,
FE-WC2-8F,680,0.125,有,,
FE-HW-8F,60,0.025,有,,
FE-ST-8F,60,0.025,有,,
FE-WC1-9F,580,0.1,有,,
FE-WC2-9F,680,0.125,有,,
FE-HW-9F,60,0.025,有,,
FE-ST-9F,60,0.025,有,,
FE-KT-9F,11400,2.2,有,有,
FE-ER-BF,2190,0.4,有,有,温度制御
FE-GE-BF,1650,0.4,有,,
FE-MR-BF,3110,0.75,有,,
FE-MDF-BF,650,0.125,有,有,温度制御
FE-FP-BF,430,0.1,有,,
FE-ST1-BF,1680,0.4,有,,
FE-ST2-BF,210,0.05,有,,
FE-ST3-BF,190,0.05,有,,
FE-WC-BF,170,0.05,有,,
FE-SW-BF,100,0.025,有,,
FE-LC-BF,130,0.025,有,,
FE-EV2-RF,2100,0.4,有,有,温度制御
FE-EV1-RF,6200,1.5,有,有,温度制御
,,,,,
