様式 5-1. (給湯)給湯対象室入力シート,,,,,,,
,,,,,,,
,,,,,,,
①,①,①,①,①,②,③,④
,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称
,,,,,（給湯栓設置箇所）,,
,,,,[㎡],,,
(転記),(転記),(転記),(転記),(転記),,(選択),(転記)
,,,,,,,
B1F,中央監視室,事務所等,中央監視室,85,湯沸コーナー,無,EH-3-B1
,,,,,シャワー室,節水型シャワー,EH-4
B1F,清掃員控室,事務所等,更衣室・倉庫,22.4,湯沸コーナー,無,EH-3-B1
,,,,,シャワー室,節水型シャワー,EH-4
1F,1F事務室,事務所等,事務室,605.2,女子便所,自動給湯栓,EH-1-1
,,,,,男子便所,自動給湯栓,EH-2-1
,,,,,湯沸コーナー,無,EH-3-1
1F,警備員室,事務所等,中央監視室,17.8,女子便所,自動給湯栓,EH-1-1
,,,,,男子便所,自動給湯栓,EH-2-1
,,,,,湯沸コーナー,無,EH-3-1
2F,2F会議室,事務所等,会議室,623,女子便所,自動給湯栓,EH-1-2
,,,,,男子便所,自動給湯栓,EH-2-2
,,,,,湯沸コーナー,無,EH-3-2
3F,3F事務室,事務所等,事務室,623,女子便所,自動給湯栓,EH-1-3
,,,,,男子便所,自動給湯栓,EH-2-3
,,,,,湯沸コーナー,無,EH-3-3
4F,4F事務室,事務所等,事務室,623,女子便所,自動給湯栓,EH-1-4
,,,,,男子便所,自動給湯栓,EH-2-4
,,,,,湯沸コーナー,無,EH-3-4
5F,5F事務室,事務所等,事務室,623,女子便所,自動給湯栓,EH-1-5
,,,,,男子便所,自動給湯栓,EH-2-5
,,,,,湯沸コーナー,無,EH-3-5
6F,6F事務室,事務所等,事務室,623,女子便所,自動給湯栓,EH-1-6
,,,,,男子便所,自動給湯栓,EH-2-6
,,,,,湯沸コーナー,無,EH-3-6
7F,7F事務室,事務所等,事務室,623,女子便所,自動給湯栓,EH-1-7
,,,,,男子便所,自動給湯栓,EH-2-7
,,,,,湯沸コーナー,無,EH-3-7
8F,8F事務室,事務所等,事務室,495.1,女子便所,自動給湯栓,EH-1-8
,,,,,男子便所,自動給湯栓,EH-2-8
,,,,,湯沸コーナー,無,EH-3-8
8F,セミナールーム,事務所等,会議室,127.9,女子便所,自動給湯栓,EH-1-9
,,,,,男子便所,自動給湯栓,EH-2-9
,,,,,湯沸コーナー,無,EH-3-9
9F,9F食堂,事務所等,社員食堂,520.4,厨房,無,EH-5
,,,,,,,
