様式 5-2. (給湯)給湯機器入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,②,③,④,⑤,⑥,太陽熱利用,,,⑩
,,,,,,⑦,⑧,⑨,
給湯機器名称,燃料種類,定格加熱能力,熱源効率（一次エネルギー換算）,配管保温仕様,接続口径,有効集熱面積,集熱面の方位角,集熱面の傾斜角,備考
,,,,,,,,,
,(選択）,[kW],[-],,[mm],[㎡],[°],[°],
,,,,(選択),,,,,
,,,,,,,,,
EH-3-B1,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-1,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-1,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-1,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-2,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-2,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-2,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-3,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-3,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-3,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-4,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-4,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-4,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-5,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-5,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-5,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-6,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-6,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-6,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-7,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-7,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-7,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-8,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-8,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-8,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-1-9,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(女子便所）(1-9F分）
EH-2-9,電力,1.5,0.37,保温仕様１,20,,,,電気給湯機(男子便所）(1-9F分）
EH-3-9,電力,3,0.37,保温仕様１,20,,,,電気給湯機(給湯コーナー)(B1-9F分）
EH-4,電力,10,0.37,保温仕様１,60,,,,電気給湯機（B1F　シャワー室）
EH-5,ガス,30,0.95,保温仕様１,60,,,,ガス式給湯器（9F　厨房）
,,,,,,,,,
