様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
AC1F,1,空調機,52.32,76.26,9417.52,3.7,,,0.75,回転数制御,30,有,有,有,2620,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC2F,1,空調機,75.4,78.5,13572.3,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC3F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC4F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC5F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC6F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC7F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
AC8F,1,空調機,53.86,78.5,9694.5,5.5,,,0.75,回転数制御,30,有,有,有,2700,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
ACEN,1,空調機,24.4,25.4,4391.94,3.7,,,0.1,定風量制御,,無,無,有,880,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
OCRS,1,空調機,75.8,48.38,5760,2.2,,,0.75,定風量制御,,無,無,有,5760,60,有,0.1,PC1,PH1,AHP,AHP,プラグFAN直結駆動
FCU4,1,空調機,1.52,1.56,320,0.07,,,,定風量制御,,無,無,有,60,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
FCU6,1,空調機,3.05,3.1,640,0.1,,,,定風量制御,,無,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
FCU8,23,空調機,3.05,3.1,640,0.08,,,,定風量制御,,無,無,有,70,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
ACCI,2,空調機,6.1,6.22,1280,0.17,,,,定風量制御,,無,無,有,370,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
ACSI,1,空調機,3.05,3.1,640,0.1,,,,定風量制御,,無,無,有,100,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
ACKI,1,空調機,2.29,2.33,480,0.08,,,,定風量制御,,無,無,有,80,60,有,0.1,PC1,PH1,AHP,AHP,HEUのファン動力はローターの消費電力とした
