様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
1F,ロビー,ホテル等,終日利用されるロビー,415.5,4.75,3.5,1F,ロビー,HU-1,HU-1
1F,フロント,ホテル等,終日利用されるフロント,36,4.75,3.5,1F,フロント,HU-1,HU-1
1F,EVホール,ホテル等,終日利用される廊下,36,4.75,3.5,1F,EVホール,FCU2-1,HU-1
1F,ラウンジ,ホテル等,ラウンジ,120,4.75,3.5,1F,ラウンジ,HU-1,HU-1
1F,更衣室1,ホテル等,更衣室又は倉庫,19.2,4.75,2.6,1F,更衣室1,EHP1-1,EHP1-1
1F,更衣室2,ホテル等,更衣室又は倉庫,19.2,4.75,2.6,1F,更衣室2,EHP1-2,EHP1-2
1F,更衣室3,ホテル等,更衣室又は倉庫,19.2,4.75,2.6,1F,更衣室3,EHP1-3,EHP1-3
1F,宿直室1,ホテル等,客室,18.75,4.75,2.6,1F,宿直室1,EHP1-4,EHP1-4
1F,宿直室2,ホテル等,客室,18.75,4.75,2.6,1F,宿直室2,EHP1-5,EHP1-5
1F,事務室1,ホテル等,終日利用される事務室,132,4.75,2.6,1F,事務室1,EHP1-9,EHP1-9
1F,リネン室,ホテル等,更衣室又は倉庫,21,4.75,2.6,1F,リネン室,FCU1-1,FCU1-1
1F,レストラン,ホテル等,レストラン,420,4.75,3.5,1F,レストラン,EHP1-10,EHP1-10
1F,事務室2,ホテル等,終日利用される事務室,21,4.75,2.4,1F,事務室2,EHP1-6,EHP1-6
1F,更衣室4,ホテル等,更衣室又は倉庫,18,4.75,2.4,1F,更衣室4,EHP1-7,EHP1-7
1F,更衣室5,ホテル等,更衣室又は倉庫,27,4.75,2.4,1F,更衣室5,EHP1-8,EHP1-8
2F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,2F,EVホール,FCU2-2,OHU-2
2F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,2F,リネン室,FCU1-2,OHU-2
